cls,freq,freq_1cls,ratio,agent_utterance,theme
information_offer,8,8,1.0, 「エスエヌエス」を利用して、何か面白かったことはありますか・・,エスエヌエス
information_offer,6,6,1.0, 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。,ゲーム
information_offer,5,5,1.0, 私の知りあいはマリオテニスを試してみたそうです！あんがい体も動かせて楽しかったと言っていました。よろしければ、今度ためしてみてください！	,ゲーム
information_offer,4,4,1.0, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,スポーツ
information_offer,19,19,1.0, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,スポーツ
information_offer,1,1,1.0, 私の知り合いは、子供と公園で遊ぶと、つぎの日は筋肉痛になるといっていました。,休日
information_offer,2,2,1.0, お子さんと遊ぶのは体力が必要で、大変ですよね。,休日
information_offer,2,2,1.0, 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。,休日
information_offer,3,3,1.0, 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。,休日
information_offer,8,8,1.0, 学生時代で、楽しかったエピソードを教えてください・・,学校
information_offer,5,5,1.0, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・,旅行
information_offer,4,4,1.0, 私の知りあいは、本当は映画館でみたいそうですが、いつもテレビの放送ですませてしまうと言っていました・・,映画
information_offer,1,1,1.0, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,映画
information_offer,4,4,1.0, なまで演奏をきくと、迫力があって、感動するみたいですね！,音楽
information_offer,8,8,1.0, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,食事
information_offer,8,8,1.0, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・,食事
question_depend_o,19,19,1.0, 具体的にはどういったものですか？,default
question_depend_o,6,6,1.0, そのほかにおすすめのものはありますか？,default
question_depend_o,5,5,1.0, それのどういったところが好きなんですか？,default
question_depend_o,13,13,1.0, 具体的には教えてもらえますか？,default
question_depend_o,2,2,1.0, そのほかで、おすすめのものはありますか？あったら教えてください．,default
question_depend_o,20,20,1.0, 具体的に教えてもらっていいですか？,default
question_depend_o,9,9,1.0, 具体的には何ですか？,default
question_depend_o,3,3,1.0, 具体的に教えてください？,default
