theme,freq,agent_utterance
default,58, ありがとうございました・・
default,18, ありがとうございます。
default,6, ありがとうございます。参考にさせていただきます。
default,3, いいですね，とても興味深いです！
default,9, すごいですね。
default,5, すごいですね！
default,1, すごい！
default,4, そうですか、なかなかですね。
default,1, そうですか、残念です・・
default,4, そうですね、わかります。
default,5, そうですね。
default,8, そうですね・・ぜひ参考にさせていただきます。
default,1, そうなんですか．
default,3, そうなんですか．それでは一度独自で調べてみたいと思います．
default,1, そうなんですか．私も独自に調べてみますね．
default,57, そうなんですね。
default,1, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！
default,1, そうなんですね．新しい知識が増えました！ありがとうございます！
default,3, それは大変ですよね。
default,6, それは面白そうですね。
default,2, たのしそうですね。
default,128, なるほど、そうなんですね。
default,2, なるほど、そうなんですね・・
default,7, なるほど、それは面白そうですね。
default,4, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！
default,7, なるほど、よくご存じですね・・
default,16, なるほど、勉強になります・・
default,5, なるほど、面白そうですね！
default,47, なるほど。
default,10, はい、そうです。
default,31, もう少し詳しく教えていただいていいですか。
default,3, よくご存じですね。
default,1, 大変ですよね。
default,19, 本当ですか！
default,10, 楽しそうですね！
default,8, 素敵な趣味ですね。
default,2, 面白いですよね。
アニメ・漫画,1, 楽しそうですね。今度知りあいにすすめてみたいと思います！
エスエヌエス,1, 「エスエヌエス」のともだちと実際に、会ったことはありますか・・
エスエヌエス,8, 「エスエヌエス」を利用して、何か面白かったことはありますか・・
エスエヌエス,2, いいですね，私も使ってみたいです！
エスエヌエス,1, いいですね．使ってみると面白そうですね！
エスエヌエス,10, そうですか，いいものが見つかるといいですね．
エスエヌエス,19, なるほど、そういうふうに利用されているのですね。
エスエヌエス,1, ほかにたいへんだったことはありますか・・
ゲーム,6, 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。
ゲーム,5, 私の知りあいはマリオテニスを試してみたそうです！あんがい体も動かせて楽しかったと言っていました。よろしければ、今度ためしてみてください！	
スポーツ,19, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！
スポーツ,9, いいですね。テレビ観戦も楽しそうですね！
スポーツ,4, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。
スポーツ,3, そうですか。そのスポーツはテレビで鑑賞はされますか・・
スポーツ,2, そのスポーツのおすすめポイントを教えてください＾＾
スポーツ,10, なるほど、健康的で、ステキですね・・
スポーツ,2, なるほど、面白そうですね，機会があればわたしも見てみたいです！
ドラマ,2, そういった番組も面白いですよね。
休日,1, いぬがたのロボットで、とてもかわいがる人もいるようです。
休日,2, お子さんと遊ぶのは体力が必要で、大変ですよね。
休日,12, そとで過ごすときはスポーツをしたりしますか・・
休日,3, 一度ネットワークにつなぐと、あとはラクなようですよ。
休日,2, 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。
休日,1, 私の知り合いは、子供と公園で遊ぶと、つぎの日は筋肉痛になるといっていました。
休日,3, 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。
学校,6, それはご活躍されたんですね・・
学校,4, それはたいへんでしたね。
学校,12, それは楽しい時間でしたね！
学校,4, それは面白い体験ですね！
学校,8, 学生時代で、楽しかったエピソードを教えてください・・
学校,4, 貴重な体験をされましたね・・
学校,9, 貴重な体験談をありがとうございました・・
学校,1, 面白かったんですね！
旅行,5, すごい！面白い体験をされましたね!
旅行,5, その旅先で何かハプニングはありましたか!
旅行,22, その旅先で美味しい食べ物はたべましたか・・
旅行,14, それは、美味しそうですね。
旅行,5, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・
旅行,7, なるほど、それはリラックスできますね。
旅行,10, なるほど、それは素晴らしい経験ですね。
旅行,4, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・
旅行,20, 貴重な体験談をありがとうございました。
映画,1, そうですか，では一度独自で調べてみますね！
映画,1, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！
映画,4, なるほど、それは面白そうですね！私も観てみたいです！
映画,1, なるほど，では私もチェックしておきますね！
映画,4, 私の知りあいは、本当は映画館でみたいそうですが、いつもテレビの放送ですませてしまうと言っていました・・
本,1, なるほど、それは面白そうですね。今度知りあいにすすめてみます。
音楽,3, がっきは何を演奏するのですか。
音楽,2, すごいですね。一度聞かせていただけるとうれしいです。
音楽,2, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！
音楽,10, とても楽しそうですね。
音楽,4, なまで演奏をきくと、迫力があって、感動するみたいですね！
音楽,3, わたしも実際に、演奏をきいてみたいものです。
食事,1, いい思い出だったようです。
食事,2, おばあちゃんがよく家で出してくれていたと言っていました。
食事,8, そうですか、とても美味しそうですね・・
食事,2, そうですか。最近はまっている食べ物はありますか・・
食事,8, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
食事,4, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・
食事,8, どこで食べられたんですか・・
食事,11, なるほど、それは美味しそうですね・・
食事,1, 具体的にどういう味か教えてください。
食事,8, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・
