exchgID,state,action,theme,UI,utterance
000_S,io_Nx_n,change_theme,-,-, *** これから旅行の話をしましょう***
000_U,-,-,-,3.0,3
001_S,ct_Nx_l,qs_x_s,default,-, もう少し詳しく教えていただいていいですか。
001_U,-,-,-,3.0,3
002_S,qs_Nx_l,qs_x_s,旅行,-, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
002_U,-,-,-,3.0,3
003_S,qs_Nx_l,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
003_U,-,-,-,4.0,4
004_S,qs_Nx_n,re_x_d,default,-, すごいですね！
004_U,-,-,-,4.0,4
005_S,re_Nx_n,qs_x_s,旅行,-, さいきん旅行には行きましたか？
005_U,-,-,-,4.0,4
006_S,qs_Nx_n,re_x_d,default,-, いいですね，とても興味深いです！
006_U,-,-,-,4.0,4
007_S,re_Nx_n,qs_x_s,旅行,-, 旅行にはよく行かれますか？
007_U,-,-,-,4.0,4
008_S,qs_Nx_n,re_x_d,default,-, そうなんですか．それでは一度独自で調べてみたいと思います．
008_U,-,-,-,4.0,4
009_S,re_Nx_n,qs_x_s,旅行,-, 「温泉」などリフレッシュするためにいきますか？
009_U,-,-,-,4.0,4
