exchgID,da,theme,UI,utterance
000_S,change_theme,-,-, *** これから旅行の話をしましょう***
000_U,-,-,4.0,はい
001_S,qs_d_o,default,-, そのほかで、おすすめのものはありますか？あったら教えてください．
001_U,-,-,4.0,ないです
002_S,re_d,default,-, なるほど、そうなんですね・・
002_U,-,-,4.0,はい
003_S,qs_s_x,default,-, もう少し詳しく教えていただいていいですか。
003_U,-,-,3.0,や，ないんです
004_S,re_s_x_2,旅行,-, すごい！面白い体験をされましたね!
004_U,-,-,3.0,おいおちょくってんのか
005_S,qs_s_x,旅行,-, 旅行にはよく行かれますか？
005_U,-,-,4.0,はい
006_S,re_s_x_2,旅行,-, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・
006_U,-,-,5.0,それはよくしますね
007_S,qs_s_x,default,-, もう少し詳しく教えていただいていいですか。
007_U,-,-,5.0,もはや食べ物食べに行ってますね
008_S,re_m_o_2,旅行,-, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・
008_U,-,-,5.0,ああ，海外はいってみたですね
009_S,qs_s_x,旅行,-, 旅行はどこに行ったことがありますか？
009_U,-,-,6.0,ないですんよ
