exchgID,da,theme,UI,utterance
000_S,change_theme,-,-, *** これから旅行の話をしましょう***
000_U,-,-,4.0,はい
001_S,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
001_U,-,-,4.0,九州とかです
002_S,qs_o_s,旅行,-, その旅先で美味しい食べ物はたべましたか・・
002_U,-,-,5.0,海鮮丼食べました
003_S,qs_o_d,default,-, 具体的に教えてもらっていいですか？
003_U,-,-,6.0,琉球丼と言って，鯖が乗っています
004_S,qs_o_d,default,-, 具体的にはどういったものですか？
004_U,-,-,6.0,とにかくおいしいです
005_S,qs_o_d,default,-, 具体的に教えてください？
005_U,-,-,3.0,おい
006_S,qs_x_s,旅行,-, 「温泉」などリフレッシュするためにいきますか？
006_U,-,-,4.0,いきますよ
007_S,re_x_d,default,-, 本当ですか！
007_U,-,-,4.0,いかないんですか？
008_S,qs_x_s,default,-, どういったところが好きなんですか？
008_U,-,-,5.0,気分転換できるところかなあ
009_S,qs_o_d,default,-, 具体的には何ですか？
009_U,-,-,4.0,体がほぐれるところがいいです
