clsKM,freq,freq_1cls,ratio,agent_utterance,theme,cls
0,5,5,1.0, それのどういったところが好きなんですか？,default,qs_o_1
0,6,6,1.0, そのほかにおすすめのものはありますか？,default,qs_o_1
0,3,3,1.0, 具体的に教えてください？,default,qs_o_1
0,20,20,1.0, 具体的に教えてもらっていいですか？,default,qs_o_1
0,9,9,1.0, 具体的には何ですか？,default,qs_o_1
0,19,19,1.0, 具体的にはどういったものですか？,default,qs_o_1
0,13,13,1.0, 具体的には教えてもらえますか？,default,qs_o_1
0,2,2,1.0, そのほかで、おすすめのものはありますか？あったら教えてください．,default,qs_o_1
0,80,80,1.0, それは一体どういった内容なんですか？,アニメ・漫画,qs_o_1
0,15,15,1.0, 具体的になんのために利用していますか？,エスエヌエス,qs_o_1
0,17,17,1.0, 具体的にどういったものを買いますか？,エスエヌエス,qs_o_1
0,4,4,1.0, そのゲームのどんなところが好きなんですか？,ゲーム,qs_o_1
0,1,1,1.0, それはなんていう作品なんですか？,ゲーム,qs_o_1
0,3,3,1.0, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,スポーツ,qs_o_1
0,9,9,1.0, スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ,qs_o_1
0,16,16,1.0, そのほか健康のために、気をつけていることはありますか？,スポーツ,qs_o_1
0,9,9,1.0, そのドラマはどんな内容なんですか？,ドラマ,qs_o_1
0,5,5,1.0, そのドラマのどういったところが好きなんですか？,ドラマ,qs_o_1
0,1,1,1.0, 公園は近くにありますか？それとも自転車に乗って行かないと行けないですか？,休日,qs_o_1
0,14,14,1.0, その時、どんなことをしたのですか？,学校,qs_o_1
0,8,8,1.0, 今までの体験の中で、そのほか、楽しかったことはありますか？,学校,qs_o_1
0,23,23,1.0, その旅先で何が一番楽しかったですか？,旅行,qs_o_1
0,1,1,1.0, それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？,映画,qs_o_1
0,4,4,1.0, 映画では洋画，邦画，それ以外のどれが好きですか？,映画,qs_o_1
0,80,80,1.0, それは一体どういった内容なんですか？,映画,qs_o_1
0,1,1,1.0, それはどんな「内容」なんですか？,本,qs_o_1
0,3,3,1.0, その本のどういったところが好きなんですか？,本,qs_o_1
0,1,1,1.0, その作者のどういったところが好きなんですか？,本,qs_o_1
0,3,3,1.0, 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？,本,qs_o_1
0,1,1,1.0, そうなんですか，その作品はおすすめですか？,本,qs_o_1
