agent_utterance,pn_value
 日本で開催されるオリンピックを、見にいく予定はありますか？,0
 ありがとうございます。,0
 すごい！面白い体験をされましたね!,0.9730449999999999
 具体的に教えてください？,0
 なるほど、面白そうですね！,0.9891989999999999
 その作曲者のどういうところが好きなんですか？,0
 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,0
 お子さんとはよく公園で遊びますか？,0
 なるほど、それはリラックスできますね。,0
 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,0
 では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,0
 具体的には教えてもらえますか？,0
 たのしそうですね。,0
 そうですか、とても美味しそうですね・・,0.99136
 なるほど、よくご存じですね・・,0
 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,0
 そのドラマのどういったところが好きなんですか？,0
 ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,0
 具体的になんのために利用していますか？,0
 いい思い出だったようです。,0.35258059999999997
 「映画館」か「テレビ」かどちらでよく映画をみますか？,0
 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,0
 そうですか。テレビでの観戦はなされるんですか？,0
 そうですか、残念です・・,0
 好きなスポーツはなんですか？,0
 いいですね。テレビ観戦も楽しそうですね！,0.6742088
 そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,0
 携帯ゲームかテレビゲームならどちらをしますか？,0
 からい食べものとはどんな食べものが好きですか？,-0.712277
 すごい！,0.9568909999999999
 今までいった「旅行」で特におすすめの場所はありますか？,0
 さいきん旅行には行きましたか？,0
 グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,0
 見るのが好きなんですね．最近はどこで見たんですか？,0
 なるほど、面白そうですね，機会があればわたしも見てみたいです！,0.9891989999999999
 学生時代で、楽しかったエピソードを教えてください・・,0.9958370000000001
 そとで過ごすときはスポーツをしたりしますか・・,0
 そのきょくのどういうところが好きなんですか？,0
 そのゲームのどんなところが好きなんですか？,0
 最近スポーツはしましたか？,0
 その時、どんなことをしたのですか？,0
 一度ネットワークにつなぐと、あとはラクなようですよ。,0
 スポーツはするほうが好きですか？それとも見るほうが好きですか？,0
 人工知能を搭載した、アイボのようなロボットに興味はありますか？,0
 なるほど、そうなんですね・・,0
 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,0
