cls,freq,freq_1cls,ratio,agent_utterance,theme
0,5,5,1.0, それのどういったところが好きなんですか？,default
0,6,6,1.0, そのほかにおすすめのものはありますか？,default
0,3,3,1.0, 具体的に教えてください？,default
0,20,20,1.0, 具体的に教えてもらっていいですか？,default
0,9,9,1.0, 具体的には何ですか？,default
0,19,19,1.0, 具体的にはどういったものですか？,default
0,13,13,1.0, 具体的には教えてもらえますか？,default
0,2,2,1.0, そのほかで、おすすめのものはありますか？あったら教えてください．,default
0,80,80,1.0, それは一体どういった内容なんですか？,アニメ・漫画
0,15,15,1.0, 具体的になんのために利用していますか？,エスエヌエス
0,17,17,1.0, 具体的にどういったものを買いますか？,エスエヌエス
0,4,4,1.0, そのゲームのどんなところが好きなんですか？,ゲーム
0,1,1,1.0, それはなんていう作品なんですか？,ゲーム
0,3,3,1.0, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,スポーツ
0,9,9,1.0, スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ
0,16,16,1.0, そのほか健康のために、気をつけていることはありますか？,スポーツ
0,9,9,1.0, そのドラマはどんな内容なんですか？,ドラマ
0,5,5,1.0, そのドラマのどういったところが好きなんですか？,ドラマ
0,1,1,1.0, 公園は近くにありますか？それとも自転車に乗って行かないと行けないですか？,休日
0,14,14,1.0, その時、どんなことをしたのですか？,学校
0,8,8,1.0, 今までの体験の中で、そのほか、楽しかったことはありますか？,学校
0,23,23,1.0, その旅先で何が一番楽しかったですか？,旅行
0,1,1,1.0, それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？,映画
0,4,4,1.0, 映画では洋画，邦画，それ以外のどれが好きですか？,映画
0,80,80,1.0, それは一体どういった内容なんですか？,映画
0,1,1,1.0, それはどんな「内容」なんですか？,本
0,3,3,1.0, その本のどういったところが好きなんですか？,本
0,1,1,1.0, その作者のどういったところが好きなんですか？,本
0,3,3,1.0, 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？,本
0,1,1,1.0, そうなんですか，その作品はおすすめですか？,本
0,1,1,1.0, その作曲者のどういうところが好きなんですか？,音楽
0,8,8,1.0, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,音楽
0,7,7,1.0, そのきょくのどういうところが好きなんですか？,音楽
0,10,10,1.0, その歌手のどういうところが好きなんですか？,音楽
0,12,12,1.0, それは「最近」食べられたんですか？,食事
0,20,20,1.0, なるほど、その中でもおすすめのスイーツはありますか？,食事
1,3,2,0.67, どういったところが好きなんですか？,default
1,15,1,0.07, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,エスエヌエス
1,10,5,0.5, 使い心地はどうですか？,エスエヌエス
1,21,8,0.38, ショッピングで「アマゾン」などはよく利用しますか？,エスエヌエス
1,6,1,0.17, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,ゲーム
1,4,1,0.25, いつもはどんなジャンルのゲームをするんですか？,ゲーム
1,6,1,0.17, スポーツをする目的は何ですか？,スポーツ
1,16,8,0.5, 日本で開催されるオリンピックを、見にいく予定はありますか？,スポーツ
1,20,18,0.9, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,スポーツ
1,7,5,0.71, 競技はなにをご覧になりますか？,スポーツ
1,16,4,0.25, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ
1,3,1,0.33, 好きなスポーツはなんですか？,スポーツ
1,15,11,0.73, オリンピックは今までに見たことはありますか？,スポーツ
1,4,3,0.75, そうですか。テレビでの観戦はなされるんですか？,スポーツ
1,5,3,0.6, なにかおすすめのスポーツ観戦はありますか？,スポーツ
1,1,1,1.0, 見るのが好きなんですね．最近はどこで見たんですか？,スポーツ
1,2,1,0.5, お子さんとはよく公園で遊びますか？,休日
1,4,2,0.5, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,休日
1,26,8,0.31, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,休日
1,10,2,0.2, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,休日
1,3,2,0.67, ほかにたいへんだったことはありますか？,学校
1,3,1,0.33, 最近、学校にはいきましたか？,学校
1,6,2,0.33, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,学校
1,16,7,0.44, ほかには何か面白いことはありましたか？,旅行
1,11,6,0.55, 旅行に行くときはなにか目的はありますか？,旅行
1,15,4,0.27, 「温泉」などリフレッシュするためにいきますか？,旅行
1,4,1,0.25, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,旅行
1,4,3,0.75, では，もう一度見たい映画はありますか？,映画
1,4,2,0.5, 「映画館」か「テレビ」かどちらでよく映画をみますか？,映画
1,3,1,0.33, では，最近どんな映画を見られたんですか？,映画
1,3,1,0.33, 邦画が好きなんですか，おすすめの邦画ってありますか？,映画
1,11,1,0.09, 最近見た映画はありますか？,映画
1,3,2,0.67, おすすめの歌手やきょくってありますか？,音楽
1,14,2,0.14, カラオケは好きですか？,音楽
1,6,1,0.17, 最近音楽は聞きましたか？,音楽
1,9,4,0.44, カラオケでよくなにをうたうのですか？,音楽
