name,reaction,lenS,lenU,lendiff,io,na,oa,op,pa,qw,qy,su,label,agent_utterance,dialogue_act,general,context,questionmark,default,はじめに乗り物,はじめの雑談,アニメ・漫画,エスエヌエス,ゲーム,スポーツ,ドラマ,休日の過ごしかた,学校,旅行,映画,最後の質問,本,音楽,食事,lenS_diff,UI3average,UI3average_diff,sim1,sim2,sim3
1902F2001_001,375.0,22.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0, これから本番の収録を開始します。,oa,1.0,5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1902F2001_002,3126.0,60.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0, はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。,oa,1.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,0.0,0.4818299004475866,0.0,0.0
1902F2001_003,330.0,32.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.2, きょうはここまでなにで来られましたか？乗り物は乗りましたか？,qy,1.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,5.2,1.2000000000000002,0.2726849603053147,0.1553568080293172,0.0
1902F2001_004,199.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6, ここに来るまで迷いませんでしたか・・,qy,1.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,5.6,0.39999999999999947,0.2299433446332571,0.015154598297842119,0.05334292970094945
1902F2001_005,283.0,50.0,6.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.4, 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・,oa,1.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.4,-0.1999999999999993,0.2235985304941079,0.4318222427692689,0.18208372066550996
1902F2001_006,376.0,17.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2, 時間はどのくらいかかりましたか？,qw,1.0,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.0,5.2,-0.20000000000000018,0.01768222486348284,0.19046099575804165,0.06250370877289631
1902F2001_007,6000.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.4, なるほど。,oa,1.7407407407407407,36,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,4.4,-0.7999999999999998,0.0,0.0,0.0
1902F2001_008,866.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.8, 本当ですか！,oa,1.1875,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.8,0.39999999999999947,0.0,0.0,0.0
1902F2001_009,6000.0,22.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2, きょうは来ていただいてありがとうございます！,oa,1.0,4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.2,-0.5999999999999996,0.0,0.0,0.07990077486467483
1902F2001_010,6000.0,22.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, それでは「食べ物」について話しましょう！,op,1.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,-0.20000000000000018,0.0,0.0,0.0
1902F2001_011,822.0,23.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0, 甘いものと、からいものどちらがお好きですか？,qw,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.028569653486381068,0.0
1902F2001_012,931.0,44.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,qw,1.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,5.6,0.5999999999999996,0.765677400810316,0.0,0.061229331776085784
1902F2001_013,2792.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.6, そうですか、とても美味しそうですね・・,pa,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-25.0,4.6,-1.0,0.09755908975514084,0.18401791879530707,0.0
1902F2001_014,1444.0,20.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.4, なるほど、普段はどこでスイーツを買いますか？,qw,1.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.4,-0.1999999999999993,0.0776442339178761,0.36728518659490084,0.002492693232193019
1902F2001_015,63.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.8, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,qy,1.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,5.8,1.3999999999999995,0.3247030767595685,-0.04272130484977207,0.050340101848701586
1902F2001_016,1746.0,18.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8, 具体的にはどういったものですか？,qw,1.1875,13,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,4.8,-1.0,-0.07359866338701591,-0.07458082174246293,0.049539391731536334
1902F2001_017,4166.0,24.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8, なるほど、その中でもおすすめのスイーツはありますか？,qy,1.0526315789473684,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.8,0.0,0.028505922513552908,0.03789067402476545,0.18070408080854813
1902F2001_018,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0, なるほど、そうなんですね。,oa,4.413793103448276,81,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,4.0,-0.7999999999999998,-0.10721633235287875,-0.0696615334734928,-0.021386687113068195
1902F2001_019,1730.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, それではつぎの話題にうつりたいとおもいます。,op,2.0344827586206895,19,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.06353833609118358,-0.03314843631510556,0.048226785041250844
1902F2001_020,2506.0,31.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, 次に「お休みの日の過ごし方」についてお話ししましょう！,op,1.0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,-0.030591055939975742,0.005335495796417717,0.12735309546415957
1902F2001_021,98.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0, 休日は家で過ごすほうが多いですか？外出することが多いですか？,qw,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,0.3357731534336086,0.017934426283463485,-0.039838596413494874
1902F2001_022,6000.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0, そとで過ごすときはスポーツをしたりしますか・・,qy,1.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,6.0,1.0,0.30947203225380404,0.5538726082413917,0.012394994265980768
1902F2001_023,40.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6, 最近スポーツはしましたか？,qy,1.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,5.6,-0.40000000000000036,0.7869171187235882,0.24902647278690943,0.413510570175712
1902F2001_024,114.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.4, 好きなスポーツはなんですか？,qw,1.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.4,0.8000000000000007,0.5411170777063223,0.26665940480592965,0.0337877035322198
