name,theme_index,agent_utterance
1902F2001_011,1, 甘いものと、からいものどちらがお好きですか？
1902F2002_008,1, 甘いものと、からいものどちらがお好きですか？
1902F3001_008,1, 甘いものと、からいものどちらがお好きですか？
1902F3002_008,1, 甘いものと、からいものどちらがお好きですか？
1902F4001_010,1, 甘いものと、からいものどちらがお好きですか？
1902F4002_010,1, 甘いものと、からいものどちらがお好きですか？
1902F4003_009,1, 甘いものと、からいものどちらがお好きですか？
1902F4004_008,1, 甘いものと、からいものどちらがお好きですか？
1902F4005_010,1, 甘いものと、からいものどちらがお好きですか？
1902F4006_010,1, 甘いものと、からいものどちらがお好きですか？
1902F4007_010,1, 甘いものと、からいものどちらがお好きですか？
1902F4008_010,1, 甘いものと、からいものどちらがお好きですか？
1902F4009_010,1, 甘いものと、からいものどちらがお好きですか？
1902F4010_009,1, 甘いものと、からいものどちらがお好きですか？
1902F4011_008,1, 甘いものと、からいものどちらがお好きですか？
1902F6001_010,1, 甘いものと、からいものどちらがお好きですか？
1902F6002_008,1, 甘いものと、からいものどちらがお好きですか？
1902F7001_009,1, 甘いものと、からいものどちらがお好きですか？
1902F7002_008,1, 甘いものと、からいものどちらがお好きですか？
1902F7003_009,1, 甘いものと、からいものどちらがお好きですか？
1902M2001_009,1, 甘いものと、からいものどちらがお好きですか？
1902M3001_010,1, 甘いものと、からいものどちらがお好きですか？
1902M4001_011,1, 甘いものと、からいものどちらがお好きですか？
1902M4002_010,1, 甘いものと、からいものどちらがお好きですか？
1902M4003_009,1, 甘いものと、からいものどちらがお好きですか？
1902M5001_009,1, 甘いものと、からいものどちらがお好きですか？
1902M5002_009,1, 甘いものと、からいものどちらがお好きですか？
1902M5003_008,1, 甘いものと、からいものどちらがお好きですか？
1902M7001_010,1, 甘いものと、からいものどちらがお好きですか？
1902M7002_008,1, 甘いものと、からいものどちらがお好きですか？
1902F2001_012,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F2002_009,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F3001_009,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F3002_009,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F4001_016,7, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F4002_011,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F4004_009,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F4005_011,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F4007_011,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F4008_011,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F4009_011,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F4010_010,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F4011_009,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F6001_011,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F7001_010,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F7002_009,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F7003_010,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902M2001_010,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902M3001_011,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902M4001_012,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902M4003_010,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902M5001_010,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902M7001_011,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902M7002_009,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1902F2001_014,4, なるほど、普段はどこでスイーツを買いますか？
1902F2002_011,4, なるほど、普段はどこでスイーツを買いますか？
1902F3001_010,3, なるほど、普段はどこでスイーツを買いますか？
1902F3002_010,3, なるほど、普段はどこでスイーツを買いますか？
1902F4001_017,8, なるほど、普段はどこでスイーツを買いますか？
1902F4002_012,3, なるほど、普段はどこでスイーツを買いますか？
1902F4004_010,3, なるほど、普段はどこでスイーツを買いますか？
1902F4005_012,3, なるほど、普段はどこでスイーツを買いますか？
1902F4007_013,4, なるほど、普段はどこでスイーツを買いますか？
1902F4008_012,3, なるほど、普段はどこでスイーツを買いますか？
1902F4009_012,3, なるほど、普段はどこでスイーツを買いますか？
1902F4010_011,3, なるほど、普段はどこでスイーツを買いますか？
1902F4011_011,4, なるほど、普段はどこでスイーツを買いますか？
1902F7001_013,5, なるほど、普段はどこでスイーツを買いますか？
1902F7002_010,3, なるほど、普段はどこでスイーツを買いますか？
1902F7003_011,3, なるほど、普段はどこでスイーツを買いますか？
1902M2001_012,4, なるほど、普段はどこでスイーツを買いますか？
1902M3001_013,4, なるほど、普段はどこでスイーツを買いますか？
1902M4001_013,3, なるほど、普段はどこでスイーツを買いますか？
1902M4003_011,3, なるほど、普段はどこでスイーツを買いますか？
1902M5001_011,3, なるほど、普段はどこでスイーツを買いますか？
1902M7001_013,4, なるほど、普段はどこでスイーツを買いますか？
1902M7002_010,3, なるほど、普段はどこでスイーツを買いますか？
1902F2001_015,5, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F3002_011,4, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F4001_018,9, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
1902F4004_013,6, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
