exchgID,da,theme,UI,utterance
000_S,change_theme,-,-, *** これから旅行の話をしましょう***
000_U,-,-,4.0,はい
001_S,qs_nocont_normal,旅行,-, 「温泉」などリフレッシュするためにいきますか？
001_U,-,-,4.0,温泉は最近行きたいと思ってるんですよ
002_S,io,旅行,-, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・
002_U,-,-,4.0,おいしいものは旅行の主目的ですね
003_S,re_knowledge,default,-, なるほど、よくご存じですね・・
003_U,-,-,4.0,はあ
004_S,qs_nocont_normal,旅行,-, さいきん旅行には行きましたか？
004_U,-,-,4.0,最近は九州に行きました
005_S,io,旅行,-, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・
005_U,-,-,4.0,海外は言ったことないですね
006_S,qs_cont,default,-, 具体的にはどういったものですか？
006_U,-,-,3.0,なにがですか
007_S,re_knowledge,default,-, なるほど、よくご存じですね・・
007_U,-,-,3.0,はあ
008_S,qs_cont,default,-, 具体的に教えてもらっていいですか？
008_U,-,-,3.0,海外はイタリアに行きたいです
009_S,re_knowledge,default,-, よくご存じですね。
009_U,-,-,3.0,はい
