agent_utterance,da5_old,da5_new
 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,information_offer,information_offer
 「エスエヌエス」を利用して、何か面白かったことはありますか・・,information_offer,information_offer
 お子さんと遊ぶのは体力が必要で、大変ですよね。,information_offer,information_offer
 これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,information_offer,information_offer
 そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,information_offer,information_offer
 そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,information_offer,response_demonstrative_x
 そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,information_offer,response_demonstrative_x
 そうなんですね．新しい知識が増えました！ありがとうございます！,information_offer,response_demonstrative_x
 たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,information_offer,information_offer
 たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・,information_offer,information_offer
 とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,information_offer,response_demonstrative_x
 なまで演奏をきくと、迫力があって、感動するみたいですね！,information_offer,information_offer
 なるほど、面白そうですね，機会があればわたしも見てみたいです！,information_offer,response_demonstrative_x
 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。,information_offer,information_offer
 学生時代で、楽しかったエピソードを教えてください・・,information_offer,information_offer
 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。,information_offer,information_offer
 楽しそうですね。今度知りあいにすすめてみたいと思います！,information_offer,response_demonstrative_x
 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・,information_offer,information_offer
 私の知りあいは、本当は映画館でみたいそうですが、いつもテレビの放送ですませてしまうと言っていました・・,information_offer,information_offer
 私の知りあいはマリオテニスを試してみたそうです！あんがい体も動かせて楽しかったと言っていました。よろしければ、今度ためしてみてください！	,information_offer,information_offer
 私の知り合いは、子供と公園で遊ぶと、つぎの日は筋肉痛になるといっていました。,information_offer,information_offer
 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。,information_offer,information_offer
 するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,question_depend_o,question_depend_o
 そうなんですか，その作品はおすすめですか？,question_depend_o,question_depend_o
 そのきょくのどういうところが好きなんですか？,question_depend_o,question_depend_o
 そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,question_depend_o,question_depend_o
 そのほかで、おすすめのものはありますか？あったら教えてください．,question_depend_o,question_depend_o
 そのほかにおすすめのものはありますか？,question_depend_o,question_depend_o
 そのほか健康のために、気をつけていることはありますか？,question_depend_o,question_depend_o
 そのゲームのどんなところが好きなんですか？,question_depend_o,question_depend_o
 そのドラマのどういったところが好きなんですか？,question_depend_o,question_depend_o
 そのドラマはどんな内容なんですか？,question_depend_o,question_depend_o
 その作曲者のどういうところが好きなんですか？,question_depend_o,question_depend_o
 その作者のどういったところが好きなんですか？,question_depend_o,question_depend_o
 その旅先で何が一番楽しかったですか？,question_depend_o,question_depend_o
 その時、どんなことをしたのですか？,question_depend_o,question_depend_o
 その本のどういったところが好きなんですか？,question_depend_o,question_depend_o
 その歌手のどういうところが好きなんですか？,question_depend_o,question_depend_o
 それのどういったところが好きなんですか？,question_depend_o,question_depend_o
 それは「最近」食べられたんですか？,question_depend_o,question_depend_o
 それはどんな「内容」なんですか？,question_depend_o,question_depend_o
 それはなんていう作品なんですか？,question_depend_o,question_depend_o
 それは一体どういった内容なんですか？,question_depend_o,question_depend_o
 それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？,question_depend_o,question_depend_o
 なるほど、その中でもおすすめのスイーツはありますか？,question_depend_o,question_depend_o
 スポーツはするほうが好きですか？それとも見るほうが好きですか？,question_depend_o,question_depend_o
 今までの体験の中で、そのほか、楽しかったことはありますか？,question_depend_o,question_depend_o
 公園は近くにありますか？それとも自転車に乗って行かないと行けないですか？,question_depend_o,question_depend_o
 具体的にどういったものを買いますか？,question_depend_o,question_depend_o
 具体的になんのために利用していますか？,question_depend_o,question_depend_o
 具体的にはどういったものですか？,question_depend_o,question_depend_o
 具体的には何ですか？,question_depend_o,question_depend_o
 具体的には教えてもらえますか？,question_depend_o,question_depend_o
 具体的に教えてください？,question_depend_o,question_depend_o
 具体的に教えてもらっていいですか？,question_depend_o,question_depend_o
 映画では洋画，邦画，それ以外のどれが好きですか？,question_depend_o,question_depend_o
 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？,question_depend_o,question_depend_o
 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,question_depend_x,question_depend_x
 「エスエヌエス」を利用していてハプニングにあったことはありますか？,question_depend_x,question_depend_x
 「映画館」か「テレビ」かどちらでよく映画をみますか？,question_depend_x,question_depend_x
 「温泉」などリフレッシュするためにいきますか？,question_depend_x,question_depend_x
 あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？,question_depend_x,question_depend_x
 あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,question_depend_x,question_depend_x
 いつもはどんなジャンルのゲームをするんですか？,question_depend_x,question_depend_x
 おすすめのアニメってありますか？,question_depend_x,question_depend_x
 おすすめの便利なきのうとかはありますか？,question_depend_x,question_depend_x
 おすすめの映画ってありますか？,question_depend_x,question_depend_x
 おすすめの曲はありますか？,question_depend_x,question_depend_x
 おすすめの歌手やきょくってありますか？,question_depend_x,question_depend_x
 おすすめの漫画ってありますか？,question_depend_x,question_depend_x
 お友達とランチに行ったりしますか？,question_depend_x,question_depend_x
 お子さんとはよく公園で遊びますか？,question_depend_x,question_depend_x
 からい食べものとはどんな食べものが好きですか？,question_depend_x,question_depend_x
 これは「おすすめ」というものはありますか？,question_depend_x,question_depend_x
