cls,freq,freq_1cls,ratio,agent_utterance,theme
0,5,5,1.0, それのどういったところが好きなんですか？,default
0,6,6,1.0, そのほかにおすすめのものはありますか？,default
0,3,3,1.0, 具体的に教えてください？,default
0,20,20,1.0, 具体的に教えてもらっていいですか？,default
0,9,9,1.0, 具体的には何ですか？,default
0,19,19,1.0, 具体的にはどういったものですか？,default
0,13,13,1.0, 具体的には教えてもらえますか？,default
0,2,2,1.0, そのほかで、おすすめのものはありますか？あったら教えてください．,default
0,9,9,1.0, スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ
0,16,16,1.0, そのほか健康のために、気をつけていることはありますか？,スポーツ
0,23,23,1.0, その旅先で何が一番楽しかったですか？,旅行
0,1,1,1.0, その作曲者のどういうところが好きなんですか？,音楽
0,8,8,1.0, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,音楽
0,7,7,1.0, そのきょくのどういうところが好きなんですか？,音楽
0,10,10,1.0, その歌手のどういうところが好きなんですか？,音楽
0,12,12,1.0, それは「最近」食べられたんですか？,食事
0,20,20,1.0, なるほど、その中でもおすすめのスイーツはありますか？,食事

1,3,2,0.67, どういったところが好きなんですか？,default
1,6,1,0.17, スポーツをする目的は何ですか？,スポーツ
1,16,8,0.5, 日本で開催されるオリンピックを、見にいく予定はありますか？,スポーツ
1,20,18,0.9, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,スポーツ
1,7,5,0.71, 競技はなにをご覧になりますか？,スポーツ
1,16,4,0.25, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ
1,3,1,0.33, 好きなスポーツはなんですか？,スポーツ
1,15,11,0.73, オリンピックは今までに見たことはありますか？,スポーツ
1,4,3,0.75, そうですか。テレビでの観戦はなされるんですか？,スポーツ
1,5,3,0.6, なにかおすすめのスポーツ観戦はありますか？,スポーツ
1,16,7,0.44, ほかには何か面白いことはありましたか？,旅行
1,11,6,0.55, 旅行に行くときはなにか目的はありますか？,旅行
1,15,4,0.27, 「温泉」などリフレッシュするためにいきますか？,旅行
1,4,1,0.25, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,旅行
1,3,2,0.67, おすすめの歌手やきょくってありますか？,音楽
1,14,2,0.14, カラオケは好きですか？,音楽
1,6,1,0.17, 最近音楽は聞きましたか？,音楽
1,9,4,0.44, カラオケでよくなにをうたうのですか？,音楽
1,22,1,0.05, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽
1,4,2,0.5, カラオケに行くときはお友達と行きますか？,音楽
1,6,3,0.5, コンサートとかには行きますか？,音楽
1,23,1,0.04, なるほど、普段はどこでスイーツを買いますか？,食事
1,24,1,0.04, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,食事
1,7,6,0.86, どんなところに行きますか？和食ですか洋食ですか？,食事
1,17,3,0.18, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,食事
1,9,8,0.89, お友達とランチに行ったりしますか？,食事
1,10,6,0.6, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,食事

2,8,2,0.25, そうですね・・ぜひ参考にさせていただきます。,default
2,19,9,0.47, 本当ですか！,default
2,4,2,0.5, そうですね、わかります。,default
2,18,16,0.89, ありがとうございます。,default
2,1,1,1.0, そうなんですか．私も独自に調べてみますね．,default
2,3,1,0.33, よくご存じですね。,default
2,2,2,1.0, 面白いですよね。,default
2,4,1,0.25, そうですか、なかなかですね。,default
2,10,8,0.8, はい、そうです。,default
2,5,4,0.8, そうですね。,default
2,1,1,1.0, そうですか、残念です・・,default
2,10,6,0.6, 楽しそうですね！,default
2,2,1,0.5, たのしそうですね。,default
2,16,4,0.25, なるほど、勉強になります・・,default
2,9,4,0.44, すごいですね。,default
2,6,3,0.5, ありがとうございます。参考にさせていただきます。,default
2,1,1,1.0, 大変ですよね。,default
2,7,2,0.29, なるほど、よくご存じですね・・,default
2,1,1,1.0, そうなんですね．新しい知識が増えました！ありがとうございます！,default
2,5,2,0.4, すごいですね！,default
2,5,3,0.6, なるほど、面白そうですね！,default
2,9,9,1.0, いいですね。テレビ観戦も楽しそうですね！,スポーツ
2,10,5,0.5, なるほど、健康的で、ステキですね・・,スポーツ
2,2,1,0.5, なるほど、面白そうですね，機会があればわたしも見てみたいです！,スポーツ
2,5,3,0.6, すごい！面白い体験をされましたね!,旅行
2,20,19,0.95, 貴重な体験談をありがとうございました。,旅行
2,2,1,0.5, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,音楽
2,10,7,0.7, とても楽しそうですね。,音楽
2,3,3,1.0, がっきは何を演奏するのですか。,音楽
2,3,3,1.0, わたしも実際に、演奏をきいてみたいものです。,音楽
2,2,2,1.0, すごいですね。一度聞かせていただけるとうれしいです。,音楽
2,2,1,0.5, そうですか。最近はまっている食べ物はありますか・・,食事
2,1,1,1.0, いい思い出だったようです。,食事
2,4,3,0.75, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,食事
2,8,3,0.38, そうですか、とても美味しそうですね・・,食事
