cls,theme,agent_utterance,agent_utterance_refine
io,スポーツ, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！, 1964年以来56年ぶりの日本でのオリンピック開催で、たくさんの競技が行われるので行ってみたいものですね！
io,スポーツ, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。
io,旅行, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか。
io,旅行, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・, 先日旅行にいった知り合いが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです。
io,食事, いい思い出だったようです。, いい思い出だったようです。
io,食事, おばあちゃんがよく家で出してくれていたと言っていました。, おばあちゃんがよく家で出してくれていたと言っていました。
io,食事, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。, たくさんおしゃべりをすると、楽しくてストレスが発散できるようですね。
io,食事, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・, 私の友人はあんこ系が好きだそうです。あずきときなこは体や肌にいいそうで、よく食べてるそうです。
qs_d_o,default, そのほかで、おすすめのものはありますか？あったら教えてください．, そのほかで、おすすめのものはありますか？あったら教えてください？
qs_d_o,default, そのほかにおすすめのものはありますか？, そのほかにおすすめのものはありますか？
qs_d_o,default, それのどういったところが好きなんですか？, それのどういったところが好きなんですか？
qs_d_o,default, ほかには、ありますか？, ほかには、ありますか？
qs_d_o,default, 具体的にはどういったものですか？, 具体的にはどういったものですか？
qs_d_o,default, 具体的には何ですか？, 具体的には何ですか？
qs_d_o,default, 具体的には教えてもらえますか？, 具体的には教えてもらえますか？
qs_d_o,default, 具体的に教えてください？, 具体的に教えてください？
qs_d_o,default, 具体的に教えてもらっていいですか？, 具体的に教えてもらっていいですか？
qs_d_x,default, どういったところが好きなんですか？, どういったところが好きなんですか？
qs_d_x,default, もう少し詳しく教えていただいていいですか。, もう少し詳しく教えていただいていいですか？
qs_s_o,スポーツ, そのほか健康のために、気をつけていることはありますか？, そのほか健康のために、気をつけていることはありますか？
qs_s_o,スポーツ, そのスポーツのおすすめポイントを教えてください＾＾, そのスポーツのおすすめポイントを教えてください？
qs_s_o,スポーツ, そうですか。そのスポーツはテレビで鑑賞はされますか・・, そのスポーツはテレビで鑑賞はされますか？
qs_s_o,スポーツ, スポーツはするほうが好きですか？それとも見るほうが好きですか？, スポーツはするほうが好きですか？それとも見るほうが好きですか？
qs_s_o,旅行, その旅先で何かハプニングはありましたか!, その旅先で何かハプニングはありましたか？
qs_s_o,旅行, その旅先で何が一番楽しかったですか？, その旅先で何が一番楽しかったですか？
qs_s_o,旅行, その旅先で美味しい食べ物はたべましたか・・, その旅先で美味しい食べ物はたべましたか？
qs_s_o,旅行, ほかには何か面白いことはありましたか？, ほかには何か面白いことはありましたか？
qs_s_o,音楽, そのほか「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？, そのほかスローテンポの曲で、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く曲とかはありますか？
qs_s_o,音楽, その作曲者のどういうところが好きなんですか？, その作曲者のどういうところが好きなんですか？
qs_s_o,音楽, そのきょくのどういうところが好きなんですか？, その曲のどういうところが好きなんですか？
qs_s_o,音楽, その歌手のどういうところが好きなんですか？, その歌手のどういうところが好きなんですか？
qs_s_o,食事, なるほど、その中でもおすすめのスイーツはありますか？, その中でもおすすめのスイーツはありますか？
qs_s_o,食事, それは「最近」食べられたんですか？, それは最近食べられたんですか？
qs_s_o,食事, 具体的にどういう味か教えてください。, 具体的にどういう味か教えてください？
qs_s_x,スポーツ, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？, 2020年にはオリンピックが日本で開催されるようですね。ご存じですか？
qs_s_x,スポーツ, どんなスポーツをされましたか？, どんなスポーツをされましたか？
qs_s_x,スポーツ, なにかおすすめのスポーツ観戦はありますか？, なにかおすすめのスポーツ観戦はありますか？
qs_s_x,スポーツ, オリンピックは今までに見たことはありますか？, オリンピックは今までに見たことはありますか？
qs_s_x,スポーツ, スポーツはよくするんですか？, スポーツはよくするんですか？
qs_s_x,スポーツ, スポーツをする目的は何ですか？, スポーツをする目的は何ですか？
qs_s_x,スポーツ, そうですか。テレビでの観戦はなされるんですか？, テレビでの観戦はなされるんですか？
qs_s_x,スポーツ, 健康のため、とか、リフレッシュするため、とかですか？, 健康のためとかリフレッシュするためとかですか？
qs_s_x,スポーツ, 好きなスポーツはなんですか？, 好きなスポーツはなんですか？
qs_s_x,スポーツ, 日本で開催されるオリンピックを、見にいく予定はありますか？, 日本で開催されるオリンピックを、見にいく予定はありますか？
qs_s_x,スポーツ, 最近スポーツはしましたか？, 最近スポーツはしましたか？
qs_s_x,スポーツ, 競技はなにをご覧になりますか？, 競技は何をご覧になりますか？
qs_s_x,旅行, 今までいった「旅行」で特におすすめの場所はありますか？, 今までいった旅行で特におすすめの場所はありますか？
qs_s_x,旅行, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？, 数年前からスペインのバルセロナは人気の観光スポットですが、ご存知ですか？
qs_s_x,旅行, 旅行にはよく行かれますか？, 旅行にはよく行かれますか？
qs_s_x,旅行, 旅行に行くときはなにか目的はありますか？, 旅行に行くときは何か目的はありますか？
qs_s_x,旅行, 旅行はどこに行ったことがありますか？, 旅行はどこに行ったことがありますか？
qs_s_x,旅行, さいきん旅行には行きましたか？, 最近、旅行には行きましたか？
qs_s_x,旅行, 「温泉」などリフレッシュするためにいきますか？, 温泉などリフレッシュするためにいきますか？
qs_s_x,音楽, おすすめの曲はありますか？, おすすめの曲はありますか？
qs_s_x,音楽, おすすめの歌手やきょくってありますか？, おすすめの歌手や曲ってありますか？
qs_s_x,音楽, カラオケでよくなにをうたうのですか？, カラオケでよく何を歌うのですか？
qs_s_x,音楽, カラオケで歌ったりするのですか？, カラオケで歌ったりするのですか？
qs_s_x,音楽, カラオケに行くときはお友達と行きますか？, カラオケに行くときはお友達と行きますか？
qs_s_x,音楽, カラオケは好きですか？, カラオケは好きですか？
qs_s_x,音楽, コンサートとかには行きますか？, コンサートとかには行きますか？
qs_s_x,音楽, 最近音楽は聞きましたか？, 最近音楽は聞きましたか？
qs_s_x,音楽, がっきは何を演奏するのですか。, 楽器は何を演奏するのですか？
qs_s_x,音楽, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
qs_s_x,食事, お友達とランチに行ったりしますか？, お友達とランチに行ったりしますか？
qs_s_x,食事, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか利用しますか？
qs_s_x,食事, どこで食べられたんですか・・, どこで食べられたんですか？
qs_s_x,食事, どんなところに行きますか？和食ですか洋食ですか？, どんなところに行きますか？和食ですか洋食ですか？
qs_s_x,食事, なるほど、普段はどこでスイーツを買いますか？, 普段はどこでスイーツを買いますか？
qs_s_x,食事, そうですか。最近はまっている食べ物はありますか・・, 最近はまっている食べ物はありますか？
qs_s_x,食事, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
qs_s_x,食事, 甘いものと、からいものどちらがお好きですか？, 甘いものと辛いもののどちらがお好きですか？
qs_s_x,食事, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
re_d_o,default, そうなんですか．それでは一度独自で調べてみたいと思います．, そうなんですか。それでは一度独自で調べてみたいと思います。
re_d_o,default, それは大変ですよね。, それは大変ですよね。
re_d_o,default, それは面白そうですね。, それは面白そうですね。
re_d_o,default, それは面白そうですね。, それは面白そうですね。
re_d_o,default, なるほど、それは面白そうですね。, なるほど、それは面白そうですね。
re_d_o,default, なるほど、それは面白そうですね。, なるほど、それは面白そうですね。
re_d_o,default, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！
re_d_o,default, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！
re_d_x,default, いいですね，とても興味深いです！, いいですね、とても興味深いです！
re_d_x,default, すごいですね。, すごいですね。
re_d_x,default, すごいですね。, すごいですね。
re_d_x,default, すごいですね！, すごいですね！
