exchgID,da,theme,UI,utterance
000_S,change_theme,-,-, *** これから食事の話をしましょう***
000_U,-,-,4.0,はい
001_S,qs_x_s,食事,-, どこで食べられたんですか・・
001_U,-,-,4.0,なにおyあ
002_S,qs_x_s,食事,-, そうですか。最近はまっている食べ物はありますか・・
002_U,-,-,4.0,ラーメンです
003_S,qs_x_s,default,-, どういったところが好きなんですか？
003_U,-,-,5.0,色々な要素があって，店によっていろが異なるところ
004_S,qs_x_s,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
004_U,-,-,4.0,はい，たまに特別な時には行きます
005_S,qs_x_s,食事,-, なるほど、普段はどこでスイーツを買いますか？
005_U,-,-,4.0,コンビニですかね，大半は
006_S,qs_x_s,食事,-, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
006_U,-,-,5.0,おつまみはすきです
007_S,qs_x_s,食事,-, 甘いものと、からいものどちらがお好きですか？
007_U,-,-,6.0,辛い系でしょ
008_S,qs_x_s,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
008_U,-,-,5.0,まあ洋菓子かなあ
009_S,qs_x_s,食事,-, どんなところに行きますか？和食ですか洋食ですか？
009_U,-,-,1.0,なんやその質問
