cls,freq,freq_1cls,ratio,agent_utterance,theme
0,5,4,0.8, それのどういったところが好きなんですか？,default
0,19,5,0.26, 具体的にはどういったものですか？,default
0,20,7,0.35, 具体的に教えてもらっていいですか？,default
0,9,3,0.33, 具体的には何ですか？,default
0,2,1,0.5, そのほかで、おすすめのものはありますか？あったら教えてください．,default
0,13,5,0.38, 具体的には教えてもらえますか？,default
0,3,1,0.33, 具体的に教えてください？,default
0,6,1,0.17, そのほかにおすすめのものはありますか？,default
0,40,8,0.2, それは一体どういった内容なんですか？,アニメ・漫画
0,15,4,0.27, 具体的になんのために利用していますか？,エスエヌエス
0,17,6,0.35, 具体的にどういったものを買いますか？,エスエヌエス
0,4,1,0.25, そのゲームのどんなところが好きなんですか？,ゲーム
0,16,4,0.25, そのほか健康のために、気をつけていることはありますか？,スポーツ
0,9,1,0.11, スポーツはするほうが好きですか？それとも見るほうが好きですか？,スポーツ
0,5,1,0.2, そのドラマのどういったところが好きなんですか？,ドラマ
0,9,3,0.33, そのドラマはどんな内容なんですか？,ドラマ
0,14,8,0.57, その時、どんなことをしたのですか？,学校
0,8,1,0.12, 今までの体験の中で、そのほか、楽しかったことはありますか？,学校
0,23,11,0.48, その旅先で何が一番楽しかったですか？,旅行
0,1,1,1.0, それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？,映画
0,40,8,0.2, それは一体どういった内容なんですか？,映画
0,3,1,0.33, その本のどういったところが好きなんですか？,本
0,10,1,0.1, その歌手のどういうところが好きなんですか？,音楽
0,7,3,0.43, そのきょくのどういうところが好きなんですか？,音楽
0,1,1,1.0, その作曲者のどういうところが好きなんですか？,音楽
0,12,1,0.08, それは「最近」食べられたんですか？,食事
0,20,2,0.1, なるほど、その中でもおすすめのスイーツはありますか？,食事
1,9,4,0.44, すごいですね。,default
1,16,12,0.75, なるほど、勉強になります・・,default
1,4,3,0.75, そうですね、わかります。,default
1,31,2,0.06, もう少し詳しく教えていただいていいですか。,default
1,7,6,0.86, なるほど、よくご存じですね・・,default
1,6,1,0.17, ありがとうございます。参考にさせていただきます。,default
1,2,1,0.5, たのしそうですね。,default
1,8,5,0.62, そうですね・・ぜひ参考にさせていただきます。,default
1,18,1,0.06, ありがとうございます。,default
1,4,2,0.5, そうですか、なかなかですね。,default
1,57,4,0.07, そうなんですね。,default
1,5,1,0.2, そうですね。,default
1,5,4,0.8, なるほど、面白そうですね！,default
1,2,2,1.0, なるほど、そうなんですね・・,default
1,19,5,0.26, 本当ですか！,default
1,10,1,0.1, はい、そうです。,default
1,47,12,0.26, なるほど。,default
1,10,6,0.6, 楽しそうですね！,default
1,3,1,0.33, いいですね，とても興味深いです！,default
1,1,1,1.0, いいですね．使ってみると面白そうですね！,エスエヌエス
1,10,4,0.4, そうですか，いいものが見つかるといいですね．,エスエヌエス
1,19,18,0.95, なるほど、そういうふうに利用されているのですね。,エスエヌエス
1,10,6,0.6, なるほど、健康的で、ステキですね・・,スポーツ
1,9,1,0.11, いいですね。テレビ観戦も楽しそうですね！,スポーツ
1,1,1,1.0, 面白かったんですね！,学校
1,4,1,0.25, 貴重な体験をされましたね・・,学校
1,5,1,0.2, すごい！面白い体験をされましたね!,旅行
1,1,1,1.0, なるほど，では私もチェックしておきますね！,映画
1,1,1,1.0, そうですか，では一度独自で調べてみますね！,映画
1,10,5,0.5, とても楽しそうですね。,音楽
1,8,7,0.88, そうですか、とても美味しそうですね・・,食事
1,2,1,0.5, そうですか。最近はまっている食べ物はありますか・・,食事
1,8,1,0.12, どこで食べられたんですか・・,食事
2,31,24,0.77, もう少し詳しく教えていただいていいですか。,default
2,7,1,0.14, なるほど、よくご存じですね・・,default
2,5,2,0.4, そうですね。,default
2,5,1,0.2, なるほど、面白そうですね！,default
2,19,1,0.05, 本当ですか！,default
2,10,2,0.2, はい、そうです。,default
2,10,1,0.1, 楽しそうですね！,default
2,8,1,0.12, 素敵な趣味ですね。,default
2,10,2,0.2, なるほど、健康的で、ステキですね・・,スポーツ
2,9,1,0.11, いいですね。テレビ観戦も楽しそうですね！,スポーツ
2,2,1,0.5, そういった番組も面白いですよね。,ドラマ
2,12,10,0.83, そとで過ごすときはスポーツをしたりしますか・・,休日
2,5,2,0.4, すごい！面白い体験をされましたね!,旅行
2,10,2,0.2, とても楽しそうですね。,音楽
2,3,1,0.33, がっきは何を演奏するのですか。,音楽
2,2,1,0.5, すごいですね。一度聞かせていただけるとうれしいです。,音楽
2,3,1,0.33, わたしも実際に、演奏をきいてみたいものです。,音楽
2,8,2,0.25, どこで食べられたんですか・・,食事
2,2,1,0.5, おばあちゃんがよく家で出してくれていたと言っていました。,食事
3,2,2,1.0, ほかには、ありますか？,default
3,15,3,0.2, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,エスエヌエス
3,13,5,0.38, おすすめの便利なきのうとかはありますか？,エスエヌエス
3,3,1,0.33, これは「おすすめ」というものはありますか？,エスエヌエス
3,4,1,0.25, いつもはどんなジャンルのゲームをするんですか？,ゲーム
3,7,1,0.14, 競技はなにをご覧になりますか？,スポーツ
3,6,2,0.33, スポーツをする目的は何ですか？,スポーツ
3,5,2,0.4, なにかおすすめのスポーツ観戦はありますか？,スポーツ
3,13,1,0.08, さいきんドラマは見ましたか？,ドラマ
3,26,1,0.04, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,休日
3,29,2,0.07, 休日は家で過ごすほうが多いですか？外出することが多いですか？,休日
3,10,1,0.1, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,休日
