clsKM,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine,cls
0,3,3,1.0, どういったところが好きなんですか？,default, どういったところが好きなんですか？,qs_s_x
0,31,31,1.0, もう少し詳しく教えていただいていいですか。,default, もう少し詳しく教えていただいていいですか？,qs_s_x
0,4,4,1.0, そうですか。テレビでの観戦はなされるんですか？,スポーツ, テレビでの観戦はなされるんですか？,qs_s_x
0,15,15,1.0, オリンピックは今までに見たことはありますか？,スポーツ, オリンピックは今までに見たことはありますか？,qs_s_x
0,5,5,1.0, なにかおすすめのスポーツ観戦はありますか？,スポーツ, なにかおすすめのスポーツ観戦はありますか？,qs_s_x
0,1,1,1.0, どんなスポーツをされましたか？,スポーツ, どんなスポーツをされましたか？,qs_s_x
0,7,7,1.0, 最近スポーツはしましたか？,スポーツ, 最近スポーツはしましたか？,qs_s_x
0,3,3,1.0, 好きなスポーツはなんですか？,スポーツ, 好きなスポーツはなんですか？,qs_s_x
0,16,16,1.0, 日本で開催されるオリンピックを、見にいく予定はありますか？,スポーツ, 日本で開催されるオリンピックを、見にいく予定はありますか？,qs_s_x
0,20,20,1.0, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,スポーツ, 2020年にはオリンピックが日本で開催されるようですね。ご存じですか？,qs_s_x
0,1,1,1.0, スポーツはよくするんですか？,スポーツ, スポーツはよくするんですか？,qs_s_x
0,7,7,1.0, 競技はなにをご覧になりますか？,スポーツ, 競技は何をご覧になりますか？,qs_s_x
0,16,16,1.0, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ, 健康のためとかリフレッシュするためとかですか？,qs_s_x
0,6,6,1.0, スポーツをする目的は何ですか？,スポーツ, スポーツをする目的は何ですか？,qs_s_x
0,4,4,1.0, 旅行にはよく行かれますか？,旅行, 旅行にはよく行かれますか？,qs_s_x
0,15,15,1.0, 「温泉」などリフレッシュするためにいきますか？,旅行, 温泉などリフレッシュするためにいきますか？,qs_s_x
0,23,23,1.0, 今までいった「旅行」で特におすすめの場所はありますか？,旅行, 今までいった旅行で特におすすめの場所はありますか？,qs_s_x
0,23,23,1.0, さいきん旅行には行きましたか？,旅行, 最近、旅行には行きましたか？,qs_s_x
