cls,freq,freq_1cls,ratio,agent_utterance
0,30,1,0.03, ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？
0,23,1,0.04, 今までいった「旅行」で特におすすめの場所はありますか？
0,16,1,0.06, 日本で開催されるオリンピックを、見にいく予定はありますか？
0,11,1,0.09, 最近見た映画はありますか？
0,8,1,0.12, 今までの体験の中で、そのほか、楽しかったことはありますか？
0,15,2,0.13, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
0,6,1,0.17, コンサートとかには行きますか？
0,6,1,0.17, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？
0,11,2,0.18, 旅行に行くときはなにか目的はありますか？
0,30,6,0.2, きょうはここまでなにで来られましたか？乗り物は乗りましたか？
0,5,1,0.2, そうですか。そのスポーツはテレビでの観戦はなされるんですか？
0,5,1,0.2, そのドラマのどういったところが好きなんですか？
0,10,2,0.2, 旅行はどこに行ったことがありますか？
0,5,1,0.2, 洋画が好きなんですか，おすすめの洋画ってありますか？
0,9,2,0.22, スポーツはするほうが好きですか？それとも見るほうが好きですか？
0,13,3,0.23, おすすめの便利なきのうとかはありますか？
0,21,5,0.24, ショッピングで「アマゾン」などはよく利用しますか？
0,4,1,0.25, では，もう一度見たい映画はありますか？
0,4,1,0.25, 映画では洋画，邦画，それ以外のどれが好きですか？
0,7,2,0.29, おすすめの曲はありますか？
0,23,7,0.3, さいきん旅行には行きましたか？
0,3,1,0.33, おすすめの映画ってありますか？
0,9,3,0.33, お友達とランチに行ったりしますか？
0,3,1,0.33, これは「おすすめ」というものはありますか？
0,3,1,0.33, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？
0,3,1,0.33, 好きなスポーツはなんですか？
0,6,2,0.33, 最近音楽は聞きましたか？
0,30,10,0.33, 甘いものと、からいものどちらがお好きですか？
0,16,6,0.38, ほかには何か面白いことはありましたか？
0,13,5,0.38, 具体的には教えてもらえますか？
0,23,9,0.39, その旅先で何が一番楽しかったですか？
0,15,6,0.4, 「温泉」などリフレッシュするためにいきますか？
0,10,4,0.4, その歌手のどういうところが好きなんですか？
0,5,2,0.4, それのどういったところが好きなんですか？
0,5,2,0.4, なにかおすすめのスポーツ観戦はありますか？
0,5,2,0.4, 学生時代、たいへんだった体験はありますか？
0,5,2,0.4, 最近ハマっているゲームはありますか？
0,7,3,0.43, そのきょくのどういうところが好きなんですか？
0,7,3,0.43, ほかにエピソードはありますか？
0,14,6,0.43, カラオケは好きですか？
0,7,3,0.43, 最近スポーツはしましたか？
0,16,7,0.44, そのほか健康のために、気をつけていることはありますか？
0,9,4,0.44, 学生時代、一番楽しかった学年はありますか？
0,13,6,0.46, さいきんドラマは見ましたか？
0,15,7,0.47, からい食べものとはどんな食べものが好きですか？
0,15,7,0.47, 具体的になんのために利用していますか？
0,4,2,0.5, 「映画館」か「テレビ」かどちらでよく映画をみますか？
0,6,3,0.5, そのほかにおすすめのものはありますか？
0,14,7,0.5, その時、どんなことをしたのですか？
0,2,1,0.5, それはどんな内容なんですか？
0,6,3,0.5, スポーツをする目的は何ですか？
0,2,1,0.5, 携帯ゲームかテレビゲームならどちらをしますか？
0,2,1,0.5, 最近映画は見ましたか？
0,6,3,0.5, 最近本は読みましたか？
0,7,4,0.57, どんなところに行きますか？和食ですか洋食ですか？
0,15,9,0.6, オリンピックは今までに見たことはありますか？
0,5,3,0.6, ドラマはよく見る方ですか？
0,16,10,0.62, 健康のため、とか、リフレッシュするため、とかですか？
0,20,13,0.65, 具体的に教えてもらっていいですか？
0,3,2,0.67, その本のどういったところが好きなんですか？
0,3,2,0.67, では，最近どんな映画を見られたんですか？
0,3,2,0.67, どういったところが好きなんですか？
0,3,2,0.67, ほかにたいへんだったことはありますか？
0,3,2,0.67, カラオケで歌ったりするのですか？
0,10,7,0.7, それは一体どういった内容なんですか？
0,20,14,0.7, なるほど、その中でもおすすめのスイーツはありますか？
0,10,7,0.7, 使い心地はどうですか？
0,7,5,0.71, 競技はなにをご覧になりますか？
0,4,3,0.75, いつもはどんなジャンルのゲームをするんですか？
0,4,3,0.75, そうですか。テレビでの観戦はなされるんですか？
0,12,9,0.75, それは「最近」食べられたんですか？
0,4,3,0.75, カラオケに行くときはお友達と行きますか？
0,17,13,0.76, 具体的にどういったものを買いますか？
0,9,7,0.78, カラオケでよくなにをうたうのですか？
0,19,15,0.79, 具体的にはどういったものですか？
0,5,4,0.8, すみません。なにか言いかけましたか？
0,9,8,0.89, そのドラマはどんな内容なんですか？
0,9,8,0.89, 具体的には何ですか？
0,23,22,0.96, なるほど、普段はどこでスイーツを買いますか？
0,23,22,0.96, 時間はどのくらいかかりましたか？
0,3,3,1.0, おすすめの歌手やきょくってありますか？
0,2,2,1.0, お子さんとはよく公園で遊びますか？
0,1,1,1.0, そうなんですか，その作品はおすすめですか？
0,1,1,1.0, その作者のどういったところが好きなんですか？
0,1,1,1.0, それはなんですか？
0,1,1,1.0, では，おすすめのドラマは何ですか？よろしければ教えてください。
0,1,1,1.0, どんなスポーツをされましたか？
0,2,2,1.0, ほかには、ありますか？
0,1,1,1.0, スポーツはよくするんですか？
0,1,1,1.0, 一番好きなシーンなどはありますか？
0,1,1,1.0, 何をして遊ぶことが多いですか？
0,3,3,1.0, 具体的に教えてください？
0,4,4,1.0, 旅行にはよく行かれますか？
0,7,7,1.0, 本はよく読む方ですか？
1,58,1,0.02, ありがとうございました・・
1,59,1,0.02, それではつぎの話題にうつりたいとおもいます。
1,47,2,0.04, なるほど。
1,31,2,0.06, もう少し詳しく教えていただいていいですか。
1,30,2,0.07, 次に「お休みの日の過ごし方」についてお話ししましょう！
1,12,1,0.08, そとで過ごすときはスポーツをしたりしますか・・
1,10,1,0.1, そうですか，いいものが見つかるといいですね．
1,21,2,0.1, それでは少し「音楽」について話しましょう！
1,18,2,0.11, それでは少し「学校」について話しましょう！
1,8,1,0.12, それでは少し「本」について話しましょう
1,8,1,0.12, どこで食べられたんですか・・
1,12,2,0.17, もう少し詳しく教えてください。
1,6,1,0.17, 具体的にどういう味か、教えてください。
1,22,4,0.18, その旅先で美味しい食べ物はたべましたか・・
1,11,2,0.18, それでは少し「ドラマ」の話をしましょう！
1,5,1,0.2, そうですか、貴重な体験談をありがとうございました・・
1,20,4,0.2, 貴重な体験談をありがとうございました。
1,18,4,0.22, ありがとうございます。
1,12,3,0.25, それでは少し「映画」について話しましょう
1,4,1,0.25, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！
1,4,1,0.25, 貴重な体験をされましたね・・
1,10,3,0.3, はい、そうです。
1,6,2,0.33, ありがとうございます。参考にさせていただきます。
1,3,1,0.33, そうですか、貴重な体験談をありがとうございました。
1,3,1,0.33, そうですか。そのスポーツはテレビで鑑賞はされますか・・
1,3,1,0.33, そうなんですか．それでは一度独自で調べてみたいと思います．
1,6,2,0.33, それでは少し「ゲーム」について話しましょう
1,3,1,0.33, それは大変ですよね。
1,3,1,0.33, たいへんでしたね。
1,3,1,0.33, よく見るんですか！いいですね。今期おすすめのドラマはありますか
1,3,1,0.33, わたしも実際に、演奏をきいてみたいものです。
1,3,1,0.33, 一度ネットワークにつなぐと、あとはラクなようですよ。
1,9,3,0.33, 貴重な体験談をありがとうございました・・
1,5,2,0.4, すごい！面白い体験をされましたね!
1,5,2,0.4, そうですね。
1,5,2,0.4, その旅先で何かハプニングはありましたか!
1,30,12,0.4, それでは「食べ物」について話しましょう！
1,7,3,0.43, *
1,7,3,0.43, なるほど、それはリラックスできますね。
1,7,3,0.43, なるほど、それは面白そうですね。
1,4,2,0.5, すみません，その質問にはお答えできかねます．
1,2,1,0.5, そうですか。最近はまっている食べ物はありますか・・
1,4,2,0.5, それでは少し「アニメ・漫画」について話しましょう！
1,6,3,0.5, それはご活躍されたんですね・・
1,4,2,0.5, それは面白い体験ですね！
1,10,5,0.5, とても楽しそうですね。
1,4,2,0.5, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・
1,4,2,0.5, なるほど、それは面白そうですね！私も観てみたいです！
1,10,5,0.5, なるほど、健康的で、ステキですね・・
1,10,5,0.5, 楽しそうですね！
1,8,4,0.5, 素敵な趣味ですね。
1,16,9,0.56, なるほど、勉強になります・・
1,23,13,0.57, なるほど、ありがとうございました。
1,12,7,0.58, それは楽しい時間でしたね！
1,19,11,0.58, 本当ですか！
1,5,3,0.6, すごいですね！
1,8,5,0.62, そうですか、とても美味しそうですね・・
1,11,7,0.64, なるほど、それは美味しそうですね・・
1,3,2,0.67, それは、たいへんでしたね!
1,3,2,0.67, よくご存じですね。
1,7,5,0.71, なるほど、よくご存じですね・・
1,4,3,0.75, そうですか、なかなかですね。
1,4,3,0.75, そうですね、わかります。
1,8,6,0.75, そうですね・・ぜひ参考にさせていただきます。
1,4,3,0.75, それはたいへんでしたね。
1,19,15,0.79, なるほど、そういうふうに利用されているのですね。
1,10,8,0.8, なるほど、それは素晴らしい経験ですね。
1,5,4,0.8, なるほど、面白そうですね！
1,6,5,0.83, それは面白そうですね。
1,9,8,0.89, すごいですね。
1,14,13,0.93, それは、美味しそうですね。
1,1,1,1.0, 「エスエヌエス」のともだちと実際に、会ったことはありますか・・
1,3,3,1.0, いいですね，とても興味深いです！
1,1,1,1.0, すごい！
1,1,1,1.0, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！
1,1,1,1.0, そうなんですか．
1,2,2,1.0, なるほど、そうなんですね・・
1,1,1,1.0, なるほど、それは面白そうですね。今度知りあいにすすめてみます。
1,1,1,1.0, なるほど，では私もチェックしておきますね！
1,1,1,1.0, 大変ですよね。
1,1,1,1.0, 面白かったんですね！
2,128,128,1.0, なるほど、そうなんですね。
3,12,1,0.08, そとで過ごすときはスポーツをしたりしますか・・
3,10,1,0.1, なるほど、それは素晴らしい経験ですね。
3,10,1,0.1, なるほど、健康的で、ステキですね・・
3,10,1,0.1, 楽しそうですね！
3,9,1,0.11, すごいですね。
3,8,1,0.12, 「エスエヌエス」を利用して、何か面白かったことはありますか・・
3,8,1,0.12, そうですか、とても美味しそうですね・・
3,8,1,0.12, そうですね・・ぜひ参考にさせていただきます。
3,8,1,0.12, 学生時代で、楽しかったエピソードを教えてください・・
3,7,1,0.14, なるほど、それは面白そうですね。
3,6,1,0.17, 具体的にどういう味か、教えてください。
3,19,4,0.21, なるほど、そういうふうに利用されているのですね。
3,4,1,0.25, すみません，その質問にはお答えできかねます．
3,4,1,0.25, そうですか、なかなかですね。
3,4,1,0.25, そうですね、わかります。
3,4,1,0.25, それはたいへんでしたね。
3,12,3,0.25, それは楽しい時間でしたね！
3,8,2,0.25, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
3,4,1,0.25, なまで演奏をきくと、迫力があって、感動するみたいですね！
3,4,1,0.25, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！
3,4,1,0.25, なるほど、それは面白そうですね！私も観てみたいです！
3,8,2,0.25, 素敵な趣味ですね。
3,7,2,0.29, なるほど、それはリラックスできますね。
3,10,3,0.3, とても楽しそうですね。
3,19,6,0.32, 本当ですか！
3,9,3,0.33, いいですね。テレビ観戦も楽しそうですね！
3,3,1,0.33, がっきは何を演奏するのですか。
3,3,1,0.33, そうですか、貴重な体験談をありがとうございました。
3,3,1,0.33, それは、たいへんでしたね!
3,3,1,0.33, たいへんでしたね。
3,3,1,0.33, よくご存じですね。
3,3,1,0.33, 一度ネットワークにつなぐと、あとはラクなようですよ。
3,8,3,0.38, どこで食べられたんですか・・
3,23,9,0.39, なるほど、ありがとうございました。
3,30,12,0.4, ここに来るまで迷いませんでしたか・・
3,5,2,0.4, そうですね。
3,10,4,0.4, はい、そうです。
3,16,7,0.44, なるほど、勉強になります・・
