name,agent_utterance,label,dialogue_act
1902F2001_001, これから本番の収録を開始します。,4.0,oa
1902F2001_002, はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。,4.0,oa
1902F2001_003, きょうはここまでなにで来られましたか？乗り物は乗りましたか？,5.2,qy
1902F2001_004, ここに来るまで迷いませんでしたか・・,5.6,qy
1902F2001_005, 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・,5.4,oa
1902F2001_006, 時間はどのくらいかかりましたか？,5.2,qw
1902F2001_007, なるほど。,4.4,oa
1902F2001_008, 本当ですか！,4.8,oa
1902F2001_009, きょうは来ていただいてありがとうございます！,4.2,oa
1902F2001_010, それでは「食べ物」について話しましょう！,4.0,op
1902F2001_011, 甘いものと、からいものどちらがお好きですか？,5.0,qw
1902F2001_012, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,5.6,qw
1902F2001_013, そうですか、とても美味しそうですね・・,4.6,pa
1902F2001_014, なるほど、普段はどこでスイーツを買いますか？,4.4,qw
1902F2001_015, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,5.8,qy
1902F2001_016, 具体的にはどういったものですか？,4.8,qw
1902F2001_017, なるほど、その中でもおすすめのスイーツはありますか？,4.8,qy
1902F2001_018, なるほど、そうなんですね。,4.0,oa
1902F2001_019, それではつぎの話題にうつりたいとおもいます。,4.0,op
1902F2001_020, 次に「お休みの日の過ごし方」についてお話ししましょう！,4.0,op
1902F2001_021, 休日は家で過ごすほうが多いですか？外出することが多いですか？,5.0,qw
1902F2001_022, そとで過ごすときはスポーツをしたりしますか・・,6.0,qy
1902F2001_023, 最近スポーツはしましたか？,5.6,qy
1902F2001_024, 好きなスポーツはなんですか？,6.4,qw
1902F2001_025, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,5.6,qy
1902F2001_026, なるほど、健康的で、ステキですね・・,6.4,pa
1902F2001_027, スポーツをする目的は何ですか？,5.8,qw
1902F2001_028, なるほど、そうなんですね。,4.0,oa
1902F2001_029, そのほか健康のために、気をつけていることはありますか？,5.6,qy
1902F2001_030, なるほど、健康的で、ステキですね・・,4.6,pa
1902F2001_031, 2020年には、オリンピックが日本で開催されるようですね。ご存じですか？,5.0,qy
1902F2001_032, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,4.4,io
1902F2001_033, オリンピックは今までに見たことはありますか？,5.4,qy
1902F2001_034, 具体的に教えてもらっていいですか？,5.4,qw
1902F2001_035, なるほど、よくご存じですね・・,4.0,oa
1902F2001_036, そうですか。そのスポーツはテレビで鑑賞はされますか・・,3.2,qy
1902F2001_037, なるほど、そうなんですね。,3.6,oa
1902F2001_038, 日本で開催されるオリンピックを、見にいく予定はありますか？,5.8,qy
1902F2001_039, そうですね、わかります。,4.2,oa
1902F2001_040, なにかおすすめのスポーツ観戦はありますか？,4.8,qy
1902F2001_041, すみません，その質問にはお答えできかねます．,3.4,na
1902F2001_042, そうなんですか．それでは一度独自で調べてみたいと思います．,2.8,oa
1902F2001_043, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,4.8,qw
1902F2001_044, それでは少し「映画」について話しましょう,4.2,op
1902F2001_045, 最近見た映画はありますか？,5.6,qy
1902F2001_046, 映画では洋画，邦画，それ以外のどれが好きですか？,5.2,qw
1902F2001_047, 洋画が好きなんですか，おすすめの洋画ってありますか？,6.2,qy
1902F2001_048, それは一体どういった内容なんですか？,6.0,qw
1902F2001_049, それのどういったところが好きなんですか？,6.2,qw
1902F2001_050, なるほど、それは面白そうですね！私も観てみたいです！,4.2,pa
1902F2001_051, では，もう一度見たい映画はありますか？,5.0,qy
1902F2001_052, もう少し詳しく教えていただいていいですか。,5.2,qw
1902F2001_053, すごいですね。,3.8,pa
1902F2001_054, 「映画館」か「テレビ」かどちらでよく映画をみますか？,4.8,qy
1902F2001_055, なるほど、そうなんですね。,3.8,oa
1902F2001_056, ありがとうございました・・,3.8,oa
1902F2001_057, それでは少し「音楽」について話しましょう！,4.0,op
1902F2001_058, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,4.8,qw
1902F2001_059, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,5.4,qy
1902F2001_060, 具体的に教えてください？,5.8,qw
1902F2001_061, その歌手のどういうところが好きなんですか？,3.6,qw
1902F2001_062, そうなんですね。,3.8,oa
1902F2001_063, 素敵な趣味ですね。,3.6,pa
1902F2001_064, カラオケは好きですか？,4.4,qy
1902F2001_065, カラオケでよくなにをうたうのですか？,4.4,qw
1902F2001_066, 具体的にはどういったものですか？,4.6,qw
1902F2001_067, とても楽しそうですね。,3.8,pa
