name,lenS,label,名詞,agent_utterance,dialogue_act,general,context,questionmark,depend_word,nod_word,information_offer,question_depend_o,question_depend_x,response_demonstrative_o,response_demonstrative_x,UI3average,UI3average_diff,u_utte_len_after,u_utte_len_before,num_noun_after,num_noun_before,theme_index,theme,freq,information_offer_n,response_demonstrative_o_n,response_demonstrative_x_n,question_depend_o_n,question_depend_x_n,lenS_n,general_n,context_n,UI3average_n,UI3average_diff_n,num_noun_after_n,num_noun_before_n,u_utte_len_after_n,u_utte_len_before_n,theme_index_n,cls
1902F2001_007,5.0,4.4,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.4,-0.7999999999999998,12.895,31.57,0,2,6,default,47,0.0,0.0,1.0,0.0,0.0,0.010416666666666664,0.21698466142910589,0.4375,0.5384615384615385,0.3214285714285715,0.0,0.05,0.035550976628655306,0.08826352037936097,0.2222222222222222,response_demonstrative_x
1902F2002_020,5.0,4.0,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.0,-0.4000000000000004,12.91,32.595,0,0,13,default,47,0.0,0.0,1.0,0.0,0.0,0.010416666666666664,0.21698466142910589,0.4375,0.4615384615384616,0.3928571428571428,0.0,0.0,0.03559331602122615,0.09115671220503556,0.4814814814814815,response_demonstrative_x
1902F4001_029,5.0,4.2,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.2,-1.5999999999999996,35.68499999999999,131.84,0,9,4,default,47,0.0,0.0,1.0,0.0,0.0,0.010416666666666664,0.21698466142910589,0.4375,0.5000000000000002,0.17857142857142871,0.0,0.225,0.09987862707463024,0.3712882465846224,0.14814814814814814,response_demonstrative_x
1902F4001_050,5.0,4.0,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.0,-0.4000000000000004,12.695,11.225,0,0,6,default,47,0.0,0.0,1.0,0.0,0.0,0.010416666666666664,0.21698466142910589,0.4375,0.4615384615384616,0.3928571428571428,0.0,0.0,0.03498645139437733,0.030837190922434237,0.2222222222222222,response_demonstrative_x
1902F4002_053,5.0,3.6,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,3.6,-1.6,11.82,106.515,0,8,11,default,47,0.0,0.0,1.0,0.0,0.0,0.010416666666666664,0.21698466142910589,0.4375,0.3846153846153848,0.1785714285714286,0.0,0.2,0.032516653494411206,0.2998052387941741,0.4074074074074074,response_demonstrative_x
1902F4002_061,5.0,4.0,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.0,-1.7999999999999998,8.165,88.91999999999999,0,10,6,default,47,0.0,0.0,1.0,0.0,0.0,0.010416666666666664,0.21698466142910589,0.4375,0.4615384615384616,0.14285714285714296,0.0,0.25,0.022199954837981255,0.2501411313085695,0.2222222222222222,response_demonstrative_x
1902F4002_067,5.0,3.4,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,3.4,-1.0000000000000004,15.56,98.635,0,8,2,default,47,0.0,0.0,1.0,0.0,0.0,0.010416666666666664,0.21698466142910589,0.4375,0.3461538461538462,0.2857142857142857,0.0,0.2,0.04307327537540929,0.2775629445636221,0.07407407407407407,response_demonstrative_x
1902F4003_046,5.0,3.8,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,3.8,-0.6000000000000005,4.165,78.815,0,8,7,default,47,0.0,0.0,1.0,0.0,0.0,0.010416666666666664,0.21698466142910589,0.4375,0.4230769230769231,0.3571428571428571,0.0,0.2,0.010909450152421816,0.22161849384667495,0.25925925925925924,response_demonstrative_x
1902F4003_055,5.0,4.0,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.0,-1.5999999999999996,14.18,70.36500000000001,0,9,5,default,47,0.0,0.0,1.0,0.0,0.0,0.010416666666666664,0.21698466142910589,0.4375,0.4615384615384616,0.17857142857142871,0.0,0.225,0.03917805125889128,0.19776730269843068,0.1851851851851852,response_demonstrative_x
1902F4004_012,5.0,4.2,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.2,-0.39999999999999947,15.489999999999998,66.275,0,3,5,default,47,0.0,0.0,1.0,0.0,0.0,0.010416666666666664,0.21698466142910589,0.4375,0.5000000000000002,0.39285714285714296,0.0,0.07500000000000001,0.04287569154341199,0.1862227616574461,0.1851851851851852,response_demonstrative_x
