cls,agent_utterance
0, なるほど、よくご存じですね・・
0, そうですか、とても美味しそうですね・・
0, なるほど、健康的で、ステキですね・・
0, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。
0, 素敵な趣味ですね。
0, 学生時代で、楽しかったエピソードを教えてください・・
0, なるほど、それはリラックスできますね。
0, そのスポーツのおすすめポイントを教えてください＾＾
0, いいですね．使ってみると面白そうですね！
0, 「エスエヌエス」を利用して、何か面白かったことはありますか・・
0, すごいですね。一度聞かせていただけるとうれしいです。
0, おばあちゃんがよく家で出してくれていたと言っていました。
0, でんしゃ、バス、もしくは歩いてきましたか・・
0, それはご活躍されたんですね・・
0, 貴重な体験をされましたね・・
0, *
0, その旅先で美味しい食べ物はたべましたか・・
0, もう少し詳しく教えていただいていいですか。
0, なまで演奏をきくと、迫力があって、感動するみたいですね！
0, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・
0, すごい！面白い体験をされましたね!
0, それは楽しい時間でしたね！
0, なるほど、ありがとうございました。
0, なるほど、面白そうですね！
0, その旅先で何かハプニングはありましたか!
0, 具体的にどういう味か教えてください。
0, そうですか、貴重な体験談をありがとうございました。
0, たいへんでしたね。
0, それは面白い体験ですね！
0, きょうは来ていただいてありがとうございます！
0, 一度ネットワークにつなぐと、あとはラクなようですよ。
0, 楽しそうですね！
0, お子さんと遊ぶのは体力が必要で、大変ですよね。
0, 次に「お休みの日の過ごし方」についてお話ししましょう！
0, そうですね・・ぜひ参考にさせていただきます。
0, ありがとうございます。参考にさせていただきます。
0, 本当ですか！
0, そとで過ごすときはスポーツをしたりしますか・・
0, 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。
0, なるほど、それは面白そうですね。
0, とても美味しそうなので、今度知りあいにもすすめてみようと思います・・
0, ここに来るまで迷いませんでしたか・・
0, とても楽しそうですね。
0, なるほど、それは面白そうですね！私も観てみたいです！
0, なるほど、そうなんですね。
0, なるほど、面白そうですね，機会があればわたしも見てみたいです！
0, はい、そうです。
0, もう少し詳しく教えてください。
0, 具体的にどういう味か、教えてください。
0, すみません，その質問にはお答えできかねます．
0, がっきは何を演奏するのですか。
0, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・
0, なるほど、それは美味しそうですね・・
0, すごいですね！
0, そういった番組も面白いですよね。
0, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！
0, いいですね。テレビ観戦も楽しそうですね！
0, そうですね。
0, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
1, ショッピングで「アマゾン」などはよく利用しますか？
1, スポーツはするほうが好きですか？それとも見るほうが好きですか？
1, 健康のため、とか、リフレッシュするため、とかですか？
1, その作者のどういったところが好きなんですか？
1, ドラマはよく見る方ですか？
1, コンサートとかには行きますか？
1, では，おすすめのドラマは何ですか？よろしければ教えてください。
1, 学生時代で、楽しかったエピソードを教えてください・・
1, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？
1, さいきんドラマは見ましたか？
1, そうなんですか．それでは一度独自で調べてみたいと思います．
1, ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？
1, カラオケでよくなにをうたうのですか？
1, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？
1, 「エスエヌエス」を利用して、何か面白かったことはありますか・・
1, あまり見ないんですね。では、今までに見た中で一番好きなドラマはありますか？
1, 本を買うときは本屋さんにいきますか？それともウェブで「ダウンロード」しますか？
1, では，最近どんな映画を見られたんですか？
1, どこで食べられたんですか・・
1, それは一体どういった内容なんですか？
1, その本のどういったところが好きなんですか？
1, それはどんな内容なんですか？
1, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！
1, 学生時代、たいへんだった体験はありますか？
1, 最近音楽は聞きましたか？
1, 楽器を演奏するのですか？
1, 学生時代、一番楽しかった学年はありますか？
1, がっきを演奏するのですか？
1, そのドラマのどういったところが好きなんですか？
1, そのゲームのどんなところが好きなんですか？
1, その旅先で何かハプニングはありましたか!
1, するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？
1, 健康番組、とかトーク番組とか見られますか？
1, カラオケに行くときはお友達と行きますか？
1, 好きなスポーツはなんですか？
1, カラオケは好きですか？
1, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！
1, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？
1, 見るのが好きなんですね．最近はどこで見たんですか？
1, それのどういったところが好きなんですか？
1, 最近本は読みましたか？
1, 今までの体験の中で、そのほか、楽しかったことはありますか？
1, 具体的になんのために利用していますか？
1, 携帯ゲームかテレビゲームならどちらをしますか？
1, どういったところが好きなんですか？
1, よく見るんですか！いいですね。今期おすすめのドラマはありますか
1, スポーツはよくするんですか？
1, そのドラマはどんな内容なんですか？
1, わたしも実際に、演奏をきいてみたいものです。
1, 最近アニメや漫画をよく見ますか？
1, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？
1, なるほど、そうなんですね。
1, よく読むんですか。いいですね。おすすめの作者や本はありますか？
1, その歌手のどういうところが好きなんですか？
1, そうなんですか，その作品はおすすめですか？
1, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
1, 本はよく読む方ですか？
1, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
1, スポーツをする目的は何ですか？
1, いつもはどんなジャンルのゲームをするんですか？
1, そうですか。テレビでの観戦はなされるんですか？
1, そうですか，いいものが見つかるといいですね．
1, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
1, ほかには何か面白いことはありましたか？
1, そうなんですね。
1, そうですか。そのスポーツはテレビでの観戦はなされるんですか？
1, 最近スポーツはしましたか？
1, そうですか。そのスポーツはテレビで鑑賞はされますか・・
1, ゲームはよくする方なんですか？
1, 最近ハマっているゲームはありますか？
1, いいですね。テレビ観戦も楽しそうですね！
1, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
2, ショッピングで「アマゾン」などはよく利用しますか？
2, スポーツはするほうが好きですか？それとも見るほうが好きですか？
2, コンサートとかには行きますか？
2, おすすめの便利なきのうとかはありますか？
2, ドラマはよく見る方ですか？
2, 競技はなにをご覧になりますか？
2, 日本で開催されるオリンピックを、見にいく予定はありますか？
2, そのほかで、おすすめのものはありますか？あったら教えてください．
2, オリンピックは今までに見たことはありますか？
2, さいきんドラマは見ましたか？
2, ほかにたいへんだったことはありますか？
2, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？
2, ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？
2, 最近見た映画はありますか？
2, 最近、学校にはいきましたか？
2, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？
2, カラオケでよくなにをうたうのですか？
2, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
2, 具体的に教えてもらっていいですか？
2, おすすめの歌手やきょくってありますか？
2, 「エスエヌエス」を利用して、何か面白かったことはありますか・・
2, おすすめのアニメってありますか？
2, 邦画が好きなんですか，おすすめの邦画ってありますか？
2, 使い心地はどうですか？
2, 今までいった「旅行」で特におすすめの場所はありますか？
2, それは一体どういった内容なんですか？
2, それはなんていう作品なんですか？
2, 人工知能を搭載した、アイボのようなロボットに興味はありますか？
2, 最近スポーツはしましたか？
2, それはどんな内容なんですか？
2, 最近音楽は聞きましたか？
2, 学生時代、たいへんだった体験はありますか？
2, これは「おすすめ」というものはありますか？
2, 楽器を演奏するのですか？
2, 学生時代、一番楽しかった学年はありますか？
2, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？
2, カラオケで歌ったりするのですか？
2, からい食べものとはどんな食べものが好きですか？
2, なるほど、その中でもおすすめのスイーツはありますか？
2, 健康番組、とかトーク番組とか見られますか？
2, 運動会や、学芸会などのイベントで面白かった体験はありますか？
2, なるほど、普段はどこでスイーツを買いますか？
2, カラオケは好きですか？
2, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？
2, 旅行に行くときはなにか目的はありますか？
2, 具体的にはどういったものですか？
2, では，今までで一番おすすめのドラマは何ですか？
2, それでは最後の質問です。近い将来、私のような会話用の「エーアイ」を利用するとしたら、どんな時に利用しますか？
2, 「温泉」などリフレッシュするためにいきますか？
2, そのほかにおすすめのものはありますか？
2, おすすめの曲はありますか？
2, 今までの体験の中で、そのほか、楽しかったことはありますか？
2, 最近ハマっているゲームはありますか？
2, 最近本は読みましたか？
2, さいきん旅行には行きましたか？
2, 具体的になんのために利用していますか？
2, 洋画が好きなんですか，おすすめの洋画ってありますか？
2, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？
2, すみません。なにか言いかけましたか？
2, 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。
2, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
2, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
2, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？
2, よく読むんですか。いいですね。おすすめの作者や本はありますか？
2, なにかおすすめのスポーツ観戦はありますか？
2, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？
2, その時、どんなことをしたのですか？
2, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？
2, お友達とランチに行ったりしますか？
2, すみません，その質問にはお答えできかねます．
2, 「エスエヌエス」を利用していてハプニングにあったことはありますか？
2, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・
2, ゲームはよくする方なんですか？
2, そうですか。そのスポーツはテレビでの観戦はなされるんですか？
2, おすすめの漫画ってありますか？
2, ほかには何か面白いことはありましたか？
2, どんなところに行きますか？和食ですか洋食ですか？
2, そのほか健康のために、気をつけていることはありますか？
2, それはどんな「内容」なんですか？
2, その歌手のどういうところが好きなんですか？
3, そうですか、とても美味しそうですね・・
3, よくご存じですね。
3, 素敵な趣味ですね。
3, それではつぎの話題にうつりたいとおもいます。
3, 学生時代で、楽しかったエピソードを教えてください・・
3, そうなんですか．それでは一度独自で調べてみたいと思います．
3, それでは少し「本」について話しましょう
3, なるほど、それは面白そうですね。今度知りあいにすすめてみます。
3, 貴重な体験談をありがとうございました。
3, それでは少し「アニメ・漫画」について話しましょう！
3, 貴重な体験をされましたね・・
3, その旅先で美味しい食べ物はたべましたか・・
3, もう少し詳しく教えていただいていいですか。
3, そうですか，では一度独自で調べてみますね！
3, いいですね，私も使ってみたいです！
3, なるほど。
3, なるほど、ありがとうございました。
3, それは楽しい時間でしたね！
3, いい思い出だったようです。
3, ほかにたいへんだったことはありますか・・
3, なまで演奏をきくと、迫力があって、感動するみたいですね！
3, そうですか、貴重な体験談をありがとうございました。
3, それでは少し「映画」について話しましょう
3, ありがとうございました・・
3, たいへんでしたね。
3, そうですか、残念です・・
3, きょうは来ていただいてありがとうございます！
3, そうですね・・ぜひ参考にさせていただきます。
3, 一度ネットワークにつなぐと、あとはラクなようですよ。
3, 次に「お休みの日の過ごし方」についてお話ししましょう！
3, なるほど、そういうふうに利用されているのですね。
3, それでは「旅行」について話しましょう
3, 楽しそうですね。今度知りあいにすすめてみたいと思います！
3, それでは少し「スポーツ」について話しましょう！
3, ありがとうございます。参考にさせていただきます。
3, 本当ですか！
3, なるほど、勉強になります・・
3, いぬがたのロボットで、とてもかわいがる人もいるようです。
3, それでは「食べ物」について話しましょう！
3, ありがとうございます。
3, いいですね，とても興味深いです！
3, そうですか、貴重な体験談をありがとうございました・・
3, 自動でカーテンをあけしめしてくれたり、ルンバで掃除を済ませてくれたりするそうです。
3, 貴重な体験談をありがとうございました・・
3, それでは少し「ドラマ」の話をしましょう！
3, なるほど、それは面白そうですね。
3, そうですか、なかなかですね。
3, ここに来るまで迷いませんでしたか・・
3, とても楽しそうですね。
3, これで対話を終了します．ご協力ありがとうございました・・
3, なるほど、それは面白そうですね！私も観てみたいです！
3, これから本番の収録を開始します。
3, なるほど、そうなんですね。
3, そうですか，いいものが見つかるといいですね．
3, なるほど、それは素晴らしい経験ですね。
3, それでは少し「学校」について話しましょう！
3, はい、そうです。
3, 具体的にどういう味か、教えてください。
3, そうなんですね。
3, そうですか。そのスポーツはテレビで鑑賞はされますか・・
3, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・
3, それでは少し「ゲーム」について話しましょう
3, それでは少し「音楽」について話しましょう！
3, がっきは何を演奏するのですか。
3, そういった番組も面白いですよね。
3, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！
3, いいですね。テレビ観戦も楽しそうですね！
3, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
4, なるほど、よくご存じですね・・
4, そうですか、とても美味しそうですね・・
4, なるほど、健康的で、ステキですね・・
4, よくご存じですね。
4, 素敵な趣味ですね。
4, それではつぎの話題にうつりたいとおもいます。
4, それでは少し「本」について話しましょう
4, なるほど、それはリラックスできますね。
4, それは大変ですよね。
4, そうですか。最近はまっている食べ物はありますか・・
4, おばあちゃんがよく家で出してくれていたと言っていました。
4, 面白かったんですね！
4, どこで食べられたんですか・・
4, それはご活躍されたんですね・・
4, それでは少し「アニメ・漫画」について話しましょう！
4, *
4, たのしそうですね。
4, その旅先で美味しい食べ物はたべましたか・・
4, もう少し詳しく教えていただいていいですか。
4, すごい！
4, なるほど。
4, それは楽しい時間でしたね！
4, すごい！面白い体験をされましたね!
4, なるほど、ありがとうございました。
4, 面白いですよね。
4, それは、たいへんでしたね!
4, なるほど、面白そうですね！
4, それでは少し「映画」について話しましょう
4, ありがとうございました・・
4, たいへんでしたね。
4, それは面白い体験ですね！
4, 旅行に行くときはなにか目的はありますか？
4, きょうは来ていただいてありがとうございます！
4, そうですね・・ぜひ参考にさせていただきます。
4, すごいですね。
4, 一度ネットワークにつなぐと、あとはラクなようですよ。
4, 次に「お休みの日の過ごし方」についてお話ししましょう！
4, なるほど、そういうふうに利用されているのですね。
4, 楽しそうですね！
4, 大変ですよね。
4, それでは「旅行」について話しましょう
4, ありがとうございます。参考にさせていただきます。
4, 本当ですか！
4, なるほど、勉強になります・・
4, ありがとうございます。
4, それでは「食べ物」について話しましょう！
4, いいですね，とても興味深いです！
4, それはたいへんでしたね。
4, それでは少し「ドラマ」の話をしましょう！
4, なるほど、それは面白そうですね。
4, そうですか、なかなかですね。
4, なるほど，では私もチェックしておきますね！
4, ここに来るまで迷いませんでしたか・・
4, わたしも実際に、演奏をきいてみたいものです。
4, とても楽しそうですね。
4, そうなんですか．
4, なるほど、それは面白そうですね！私も観てみたいです！
4, なるほど、そうなんですね。
4, それは面白そうですね。
4, なるほど、それは素晴らしい経験ですね。
4, はい、そうです。
4, 「エスエヌエス」のともだちと実際に、会ったことはありますか・・
4, もう少し詳しく教えてください。
4, 具体的にどういう味か、教えてください。
4, すみません，その質問にはお答えできかねます．
4, そうなんですね。
4, すごいですね！
4, それでは少し「ゲーム」について話しましょう
4, そうですね、わかります。
4, それでは少し「音楽」について話しましょう！
4, なるほど、それは美味しそうですね・・
4, それは、美味しそうですね。
4, そうですね。
5, ショッピングで「アマゾン」などはよく利用しますか？
5, 競技はなにをご覧になりますか？
5, 健康のため、とか、リフレッシュするため、とかですか？
5, おすすめの便利なきのうとかはありますか？
5, それは「最近」食べられたんですか？
5, 旅行にはよく行かれますか？
5, そのきょくのどういうところが好きなんですか？
5, コンサートとかには行きますか？
5, オリンピックは今までに見たことはありますか？
5, 映画では洋画，邦画，それ以外のどれが好きですか？
5, さいきんドラマは見ましたか？
5, 具体的に教えてもらっていいですか？
5, ほかにたいへんだったことはありますか？
5, ぐちを聞いてほしいとき、とか、夢を語りたいとき、とかどんな時ですか？
5, 最近見た映画はありますか？
5, ほかにエピソードはありますか？
5, 一番好きなシーンなどはありますか？
5, その旅先で何が一番楽しかったですか？
5, おすすめの歌手やきょくってありますか？
5, ほかには、ありますか？
5, 具体的には教えてもらえますか？
5, 使い心地はどうですか？
5, それは一体どういった内容なんですか？
5, 今までいった「旅行」で特におすすめの場所はありますか？
5, お子さんとはよく公園で遊びますか？
5, それはなんですか？
5, 最近音楽は聞きましたか？
5, 具体的にどういったものを買いますか？
5, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？
