agent_utterance,UI3average,UI3average_diff,lenS,lenS_diff,questionmark,sim1,sim2,sim3,0,1,2,3,4,5,6,7,cls,io,na,oa,op,pa,qw,qy,su
 これから本番の収録を開始します。,4.0,0.0,22.0,0.0,0,0.0,0.0,0.0,-0.6678062880972329,-0.00035407572775476577,-0.2072906294231596,0.003290122531756481,-0.9462240507213308,-0.6509105257318976,-0.5837338617014687,-0.5266632984155732,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 はじめまして・・私の名前は「メイ」です。「対話の実験」の手伝いをしています。今日はよろしくお願いします。,4.0,0.0,60.0,38.0,0,0.4818299004475866,0.0,0.0,-0.6678062880972329,-0.00035407572775476577,2.6002005300017292,2.030650724158799,-0.9462240507213308,1.395238198814493,-0.5837338617014687,-0.5266632984155732,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 きょうはここまでなにで来られましたか？乗り物は乗りましたか？,5.2,1.2000000000000002,32.0,-28.0,1,0.2726849603053147,0.1553568080293172,0.0,0.8084284022228457,1.3173387451116179,0.53152283358339,-1.4905545312986959,1.0568321522135,0.507079012097536,0.15667409759391066,-0.5266632984155732,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 ここに来るまで迷いませんでしたか・・,5.6,0.39999999999999947,19.0,-13.0,0,0.2299433446332571,0.015154598297842119,0.05334292970094945,1.3005066323295378,0.4388768645520355,-0.4289346683251245,-0.6902806096038107,-0.9462240507213308,0.3255715915094978,-0.5115092495845084,-0.2574845688087052,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 大学の中でも、たてものが奥にあるので、みなさん来るのが「たいへん」でしたとよく言われます・・,5.4,-0.1999999999999993,50.0,31.0,0,0.2235985304941079,0.4318222427692689,0.18208372066551,1.0544675172761924,-0.2199695458676494,1.8613870669951795,1.657189560701186,-0.9462240507213308,0.2986275738255719,1.4742681634612356,0.3921663362822269,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 時間はどのくらいかかりましたか？,5.2,-0.20000000000000015,17.0,-33.0,1,0.01768222486348284,0.19046099575804165,0.06250370877289631,0.8084284022228457,-0.21996954586765036,-0.5766973609264344,-1.757312505196991,1.0568321522135,-0.5758208274422133,0.3239755524103739,-0.2112575076663932,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
 なるほど。,4.4,-0.7999999999999998,5.0,-12.0,0,0.0,0.0,0.0,-0.1757280579905396,-0.8788159562873363,-1.463273516534294,-0.6369290148241517,-0.9462240507213308,-0.6509105257318976,-0.5837338617014687,-0.5266632984155732,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 本当ですか！,4.8,0.39999999999999947,8.0,3.0,0,0.0,0.0,0.0,0.3163501721161525,0.4388768645520355,-1.2416294776323291,0.16334490687073352,-0.9462240507213308,-0.6509105257318976,-0.5837338617014687,-0.5266632984155732,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 きょうは来ていただいてありがとうございます！,4.2,-0.5999999999999996,22.0,14.0,0,0.0,0.0,0.07990077486467483,-0.4217671730438862,-0.6592004861474406,-0.2072906294231596,0.7502124494469827,-0.9462240507213308,-0.6509105257318976,-0.5837338617014687,-0.12346855089695817,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 それでは「食べ物」について話しましょう！,4.0,-0.20000000000000015,22.0,0.0,0,0.0,0.0,0.0,-0.6678062880972329,-0.21996954586765036,-0.2072906294231596,0.003290122531756481,-0.9462240507213308,-0.6509105257318976,-0.5837338617014687,-0.5266632984155732,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
 甘いものと、からいものどちらがお好きですか？,5.0,1.0,23.0,1.0,1,0.0,0.028569653486381068,0.0,0.5623892871694991,1.0977232749717223,-0.1334092831225046,0.0566417173114155,1.0568321522135,-0.6509105257318976,-0.44757504700931994,-0.5266632984155732,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,5.6,0.5999999999999996,44.0,21.0,1,0.7656774008103159,0.0,0.06122933177608578,1.3005066323295378,0.658492334691931,1.4180989891912497,1.1236736129045959,1.0568321522135,2.600630807893676,-0.5837338617014687,-0.21768826021344664,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
 そうですか、とても美味しそうですね・・,4.6,-1.0,19.0,-25.0,0,0.09755908975514084,0.18401791879530707,0.0,0.07031105706280591,-1.098431426427232,-0.4289346683251245,-1.3304997469597188,-0.9462240507213308,-0.23661409687815738,0.2932687843834385,-0.5266632984155732,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 なるほど、普段はどこでスイーツを買いますか？,4.4,-0.1999999999999993,20.0,1.0,1,0.0776442339178761,0.3672851865949008,0.002492693232193019,-0.1757280579905396,-0.2199695458676494,-0.3550533220244695,0.0566417173114155,1.0568321522135,-0.3211849315920091,1.1666939369620792,-0.5140846867550777,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
 ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,5.8,1.3999999999999997,45.0,25.0,1,0.3247030767595685,-0.04272130484977207,0.05034010184870159,1.5465457473828845,1.5369542152515128,1.4919803354919046,1.337079992023232,1.0568321522135,0.7279802109175025,-0.7873373892423181,-0.27263741832461413,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 具体的にはどういったものですか？,4.8,-1.0,18.0,-27.0,1,-0.07359866338701591,-0.07458082174246293,0.04953939173153634,0.3163501721161525,-1.098431426427232,-0.5028160146257794,-1.4372029365190369,1.0568321522135,-0.9634561171901498,-0.9391752146062534,-0.27667795628025765,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
 なるほど、その中でもおすすめのスイーツはありますか？,4.8,0.0,24.0,6.0,1,0.028505922513552905,0.03789067402476545,0.18070408080854813,0.3163501721161525,-0.00035407572775476577,-0.059527936821849654,0.32339969120971057,1.0568321522135,-0.5298566912999902,-0.4031524183333166,0.38520440700511427,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 なるほど、そうなんですね。,4.0,-0.7999999999999998,13.0,-11.0,0,-0.10721633235287877,-0.0696615334734928,-0.021386687113068195,-0.6678062880972329,-0.8788159562873363,-0.8722227461290543,-0.5835774200444926,-0.9462240507213308,-1.1062175988101672,-0.9157306019457865,-0.6345846536892563,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 それではつぎの話題にうつりたいとおもいます。,4.0,0.0,23.0,10.0,0,0.06353833609118358,-0.03314843631510556,0.04822678504125085,-0.6678062880972329,-0.00035407572775476577,-0.1334092831225046,0.5368060703283466,-0.9462240507213308,-0.3810873262334731,-0.7417144896329373,-0.28330162324690783,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
 次に「お休みの日の過ごし方」についてお話ししましょう！,4.0,0.0,31.0,8.0,0,-0.030591055939975742,0.005335495796417717,0.12735309546415954,-0.6678062880972329,-0.00035407572775476577,0.4576414872827351,0.43010288076902864,-0.9462240507213308,-0.78081913048217,-0.5583056644787938,0.11598502706502922,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
 休日は家で過ごすほうが多いですか？外出することが多いですか？,5.0,1.0,39.0,8.0,1,0.3357731534336086,0.017934426283463485,-0.03983859641349488,0.5623892871694991,1.0977232749717223,1.048692257687975,0.43010288076902864,1.0568321522135,0.7749906252694899,-0.4982609935722086,-0.7276965530947667,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
 そとで過ごすときはスポーツをしたりしますか・・,6.0,1.0,23.0,-16.0,0,0.30947203225380404,0.5538726082413917,0.012394994265980768,1.792584862436231,1.0977232749717223,-0.1334092831225046,-0.8503353939427877,-0.9462240507213308,0.6632997453423501,2.0559424600483323,-0.46411576252457526,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 最近スポーツはしましたか？,5.6,-0.4000000000000004,15.0,-8.0,1,0.7869171187235882,0.24902647278690945,0.413510570175712,1.3005066323295378,-0.439585016007546,-0.7244600535277443,-0.4235226357055156,1.0568321522135,2.690827829036607,0.603090100927112,1.5599909326685635,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 好きなスポーツはなんですか？,6.4,0.8000000000000007,14.0,-1.0,1,0.5411170777063223,0.26665940480592965,0.0337877035322198,2.284663092542924,0.8781078048318276,-0.7983413998283994,-0.050061472247902535,1.0568321522135,1.6470083401387008,0.6871260912271522,-0.35616401830245764,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
 するのが好きなんですね．最近はどちらでそのスポーツを楽しみましたか？,5.6,-0.8000000000000007,37.0,23.0,1,0.4361822585383863,0.6384745147268674,0.4932074919808089,1.3005066323295378,-0.8788159562873372,0.9009295650866649,1.230376802463914,1.0568321522135,1.2013899876837668,2.4591428458440348,1.9621569982622955,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
 なるほど、健康的で、ステキですね・・,6.4,0.8000000000000007,21.0,-16.0,0,0.1861800557865224,0.1756386189112852,0.17176060067092452,2.284663092542924,0.8781078048318276,-0.2811719757238145,-0.8503353939427877,-0.9462240507213308,0.1397255126909786,0.25333425942665727,0.34007387826951446,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
 スポーツをする目的は何ですか？,5.8,-0.6000000000000005,18.0,-3.0,1,0.3074099270190593,0.5941035655755297,0.4016936387600291,1.5465457473828845,-0.6592004861474416,-0.5028160146257794,-0.15676466180722057,1.0568321522135,0.6545427670144508,2.247677353408444,1.500360413607133,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
