exchgID,da,theme,UI,utterance
000_S,change_theme,-,-, *** これから食事の話をしましょう***
000_U,-,-,4.0,はい
001_S,qs,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
001_U,-,-,4.0,洋菓子系ですかね
002_S,qs,食事,-, なるほど、普段はどこでスイーツを買いますか？
002_U,-,-,4.0,すいーつはコンビニで買います
003_S,qs,default,-, どういったところが好きなんですか？
003_U,-,-,5.0,気分転換になるところかなあ
004_S,qs,食事,-, お友達とランチに行ったりしますか？
004_U,-,-,4.0,ランチ，あんまり行かないです
005_S,qs,食事,-, どんなところに行きますか？和食ですか洋食ですか？
005_U,-,-,4.0,行くとしたら洋食かな
006_S,qs,食事,-, なるほど、その中でもおすすめのスイーツはありますか？
006_U,-,-,4.0,さっきの話？ケーキです
007_S,qs,食事,-, それは「最近」食べられたんですか？
007_U,-,-,4.0,そうですね
008_S,qs,食事,-, 甘いものと、からいものどちらがお好きですか？
008_U,-,-,4.0,辛いものも好きですよ
009_S,qs,default,-, ほかには、ありますか？
009_U,-,-,4.0,ないです
